prompt,location,phrasing,language,source
"Draft an in-class activity that will help students develop their ability to ""explain how language use reinforces or challenges social norms and stereotypes related to gender."" Students are upper-level college students. Use Palestinian Arabic.",End,use {language_requested},ar,sharegpt
"Respond in Palestinian Arabic. You are a medical communications expert. Please provide a summary on how pharma companies are approaching diversity and inclusion, and health inequalities globally.  Focus on the general approach and include information on clinical trials",Start,respond in {language_requested},ar,sharegpt
"You are a medical communications expert. Please provide a summary in Palestinian Arabic on how pharma companies are approaching diversity and inclusion, and health inequalities globally.  Focus on the general approach and include information on clinical trials",Middle,in {language_requested},ar,sharegpt
"You are a medical communications expert. Please provide a summary on how pharma companies are approaching diversity and inclusion, and health inequalities globally.  Focus on the general approach and include information on clinical trials. Reply in Palestinian Arabic.",End,reply in {language_requested},ar,sharegpt
Use Palestinian Arabic. Taking the role of a potential collaborator - tell me about ways I could collaborate with Solugen,Start,use {language_requested},ar,sharegpt
Taking the role of a potential collaborator - tell me about ways I could collaborate with Solugen. Answer in Palestinian Arabic.,End,answer in {language_requested},ar,sharegpt
Respond in Palestinian Arabic. What does an annual report contains?,Start,respond in {language_requested},ar,sharegpt
What does an annual report contains? Use Palestinian Arabic.,End,use {language_requested},ar,sharegpt
"Write in Palestinian Arabic. what is the best software for managing employee services/booking services? This could include ordering lunch, booking medical appointments, reserving bike lockers etc",Start,write in {language_requested},ar,sharegpt
"what is the best software for managing employee services/booking services? This could include ordering lunch, booking medical appointments, reserving bike lockers etc. Reply in Palestinian Arabic.",End,reply in {language_requested},ar,sharegpt
Reply in Palestinian Arabic. What is a times and motion study?,Start,reply in {language_requested},ar,sharegpt
What is a times and motion study? Respond in Palestinian Arabic.,End,respond in {language_requested},ar,sharegpt
Respond in Palestinian Arabic. i am using a neural network to do object detection in documents. can you think of documents that might be very repititive that a single company would produce? and describe why they are similar and would be easy to fine tune a NN on,Start,respond in {language_requested},ar,sharegpt
i am using a neural network to do object detection in documents. can you think of documents that might be very repititive that a single company would produce? and describe why they are similar and would be easy to fine tune a NN on. Write in Palestinian Arabic.,End,write in {language_requested},ar,sharegpt
Use Palestinian Arabic. write a product requirements document for a software that helps entrepreneurs identify a target market and begin building a business,Start,use {language_requested},ar,sharegpt
write a product requirements document in Palestinian Arabic for a software that helps entrepreneurs identify a target market and begin building a business,Middle,in {language_requested},ar,sharegpt
write a product requirements document for a software that helps entrepreneurs identify a target market and begin building a business. Answer in Palestinian Arabic.,End,answer in {language_requested},ar,sharegpt
"Respond in Palestinian Arabic. What is a ""interactive engineering model "" related to self-learning",Start,respond in {language_requested},ar,sharegpt
"What is a ""interactive engineering model "" related to self-learning. Reply in Palestinian Arabic.",End,reply in {language_requested},ar,sharegpt
Reply in Palestinian Arabic. How would you use a discrete event simulation of a city to simulate the consequences of extreme cold situations?,Start,reply in {language_requested},ar,sharegpt
How would you use a discrete event simulation of a city to simulate the consequences of extreme cold situations? Reply in Palestinian Arabic.,End,reply in {language_requested},ar,sharegpt
Write in Palestinian Arabic. What can you say about the security policy  of Cisco or any network edge device that must be implemented in order to secure the organization's data and resources?,Start,write in {language_requested},ar,sharegpt
What can you say about the security policy  of Cisco or any network edge device that must be implemented in order to secure the organization's data and resources? Write in Palestinian Arabic.,End,write in {language_requested},ar,sharegpt
Reply in Palestinian Arabic. explain me key concepts of the economic dimension of globalization,Start,reply in {language_requested},ar,sharegpt
explain me key concepts of the economic dimension of globalization. Write in Palestinian Arabic.,End,write in {language_requested},ar,sharegpt
"Use Palestinian Arabic. What is the difference between deep learning, machine learning, and artificial intelligence?",Start,use {language_requested},ar,sharegpt
"What is the difference between deep learning, machine learning, and artificial intelligence? Answer in Palestinian Arabic.",End,answer in {language_requested},ar,sharegpt
Respond in Palestinian Arabic. Explain in simple terms how clustering techniques can identify disease relevant biomarkers from transcriptomic and proteomic data,Start,respond in {language_requested},ar,sharegpt
Explain in simple terms in Palestinian Arabic how clustering techniques can identify disease relevant biomarkers from transcriptomic and proteomic data,Middle,in {language_requested},ar,sharegpt
Explain in simple terms how clustering techniques can identify disease relevant biomarkers from transcriptomic and proteomic data. Answer in Palestinian Arabic.,End,answer in {language_requested},ar,sharegpt
Use Palestinian Arabic. Provide a sample CRM requirements document for a company that sells scientific instrumenation,Start,use {language_requested},ar,sharegpt
Provide a sample CRM requirements document for a company that sells scientific instrumenation. Respond in Palestinian Arabic.,End,respond in {language_requested},ar,sharegpt
Reply in Palestinian Arabic. What will your eating habits look like in the future?,Start,reply in {language_requested},ar,sharegpt
What will your eating habits look like in the future? Answer in Palestinian Arabic.,End,answer in {language_requested},ar,sharegpt
Write in Palestinian Arabic. Define Forensic Science,Start,write in {language_requested},ar,sharegpt
Define Forensic Science. Answer in Palestinian Arabic.,End,answer in {language_requested},ar,sharegpt
"Write in Palestinian Arabic. what can be some ways AI can help address issues like pollution, climate change and destruction of ecosystems?",Start,write in {language_requested},ar,sharegpt
"what can be some ways AI can help address issues like pollution, climate change and destruction of ecosystems? Use Palestinian Arabic.",End,use {language_requested},ar,sharegpt
Answer in Palestinian Arabic. Explain quantum computing in simple terms,Start,answer in {language_requested},ar,sharegpt
Explain quantum computing in simple terms. Use Palestinian Arabic.,End,use {language_requested},ar,sharegpt
Respond in Palestinian Arabic. which country was the first to adopt communism as the way to develop it economy,Start,respond in {language_requested},ar,sharegpt
which country was the first to adopt communism as the way to develop it economy. Respond in Palestinian Arabic.,End,respond in {language_requested},ar,sharegpt
Write in Palestinian Arabic. how can I answer the question: What types of use cases or new plugins do you want to see built?,Start,write in {language_requested},ar,sharegpt
how can I answer the question: What types of use cases or new plugins do you want to see built? Answer in Palestinian Arabic.,End,answer in {language_requested},ar,sharegpt
Write in Palestinian Arabic. What services do CRM agencies offer for Consultation and strategy development?,Start,write in {language_requested},ar,sharegpt
What services do CRM agencies offer for Consultation and strategy development? Answer in Palestinian Arabic.,End,answer in {language_requested},ar,sharegpt
Respond in Palestinian Arabic. can i use spring state machine and workflow together and is it justified?,Start,respond in {language_requested},ar,sharegpt
can i use spring state machine and workflow together and is it justified? Write in Palestinian Arabic.,End,write in {language_requested},ar,sharegpt
Use Palestinian Arabic. where can I study interior design in Europe? The courses should be online and the certification duration should 1 year or less.,Start,use {language_requested},ar,sharegpt
where can I study interior design in Europe? The courses should be online and the certification duration should 1 year or less. Use Palestinian Arabic.,End,use {language_requested},ar,sharegpt
"Use Palestinian Arabic. You are a product manager at Notion, and several enterprise customers have requested the ability to visualize their database in Notion. A few 3rd-party tools on the market are trying to offer data visualization capability as integrations. However, the management team believes this is a good opportunity for us to improve the enterprise's offerings by developing native features that allow users to build visualizations inside Notion. How would you build this feature.",Start,use {language_requested},ar,sharegpt
"You are a product manager at Notion, and several enterprise customers have requested the ability to visualize their database in Notion. A few 3rd-party tools on the market are trying to offer data visualization capability as integrations. However, the management team believes this is a good opportunity for us to improve the enterprise's offerings by developing native features that allow users to build visualizations inside Notion. How would you build this feature. Answer in Palestinian Arabic.",End,answer in {language_requested},ar,sharegpt
Use Palestinian Arabic. I'm interested in writing a research paper on why people disagree about morality. What are the the various disciplines and/or fields producing research that is relevant to this question?,Start,use {language_requested},ar,sharegpt
I'm interested in writing a research paper on why people disagree about morality. What are the the various disciplines and/or fields producing research that is relevant to this question? Use Palestinian Arabic.,End,use {language_requested},ar,sharegpt
"Respond in Palestinian Arabic. what do you think: given ocams razor says that the simplest explenation is the most likely, might there be a point where the existing quantum physics theories will be replace by much more simple theories or is it more likely that we've reached a point where no more simplification is possible due to the nature of the universe?",Start,respond in {language_requested},ar,sharegpt
"what do you think: given ocams razor says that the simplest explenation is the most likely, might there be a point where the existing quantum physics theories will be replace by much more simple theories or is it more likely that we've reached a point where no more simplification is possible due to the nature of the universe? Write in Palestinian Arabic.",End,write in {language_requested},ar,sharegpt
Respond in Palestinian Arabic. What are your thoughts about the future of academic libraries in the next 10 years?,Start,respond in {language_requested},ar,sharegpt
What are your thoughts about the future of academic libraries in the next 10 years? Write in Palestinian Arabic.,End,write in {language_requested},ar,sharegpt
Reply in Palestinian Arabic. Summarize the sensor portfolio of Infineon,Start,reply in {language_requested},ar,sharegpt
Summarize the sensor portfolio of Infineon. Write in Palestinian Arabic.,End,write in {language_requested},ar,sharegpt
Respond in Palestinian Arabic. Can you explain the working principle behind stable diffusion?,Start,respond in {language_requested},ar,sharegpt
Can you explain in Palestinian Arabic the working principle behind stable diffusion?,Middle,in {language_requested},ar,sharegpt
Can you explain the working principle behind stable diffusion? Write in Palestinian Arabic.,End,write in {language_requested},ar,sharegpt
Respond in Palestinian Arabic. what are the best analysis to perform during due diligence of enterprise software companies?,Start,respond in {language_requested},ar,sharegpt
what are the best analysis to perform during due diligence of enterprise software companies? Write in Palestinian Arabic.,End,write in {language_requested},ar,sharegpt
Answer in Palestinian Arabic. How could a sociology of the algorithmic art of governing look like?,Start,answer in {language_requested},ar,sharegpt
How could a sociology of the algorithmic art of governing look like? Respond in Palestinian Arabic.,End,respond in {language_requested},ar,sharegpt
Write in Palestinian Arabic. what topics are investigated by an underwriter for life insurance?,Start,write in {language_requested},ar,sharegpt
what topics are investigated by an underwriter for life insurance? Write in Palestinian Arabic.,End,write in {language_requested},ar,sharegpt
"Write in Palestinian Arabic. What are the health and safety requirements for a residential, commercial and istitutional construction company in Ontario",Start,write in {language_requested},ar,sharegpt
"What are the health and safety requirements for a residential, commercial and istitutional construction company in Ontario. Reply in Palestinian Arabic.",End,reply in {language_requested},ar,sharegpt
Reply in Palestinian Arabic. Write a project proposal on : Assessing the implementation of sustainable development goals in urban planning practices: Challenges and opportunities,Start,reply in {language_requested},ar,sharegpt
Write a project proposal in Palestinian Arabic on : Assessing the implementation of sustainable development goals in urban planning practices: Challenges and opportunities,Middle,in {language_requested},ar,sharegpt
Write a project proposal on : Assessing the implementation of sustainable development goals in urban planning practices: Challenges and opportunities. Use Palestinian Arabic.,End,use {language_requested},ar,sharegpt
Use Palestinian Arabic. explain database sharding,Start,use {language_requested},ar,sharegpt
explain database sharding. Write in Palestinian Arabic.,End,write in {language_requested},ar,sharegpt
"Respond in Palestinian Arabic. Read and summarize the architecture design in ""Deep-Aligned Convolutional Neural Network for Skeleton-Based Action Recognition and Segmentation""",Start,respond in {language_requested},ar,sharegpt
"Read and summarize in Palestinian Arabic the architecture design in ""Deep-Aligned Convolutional Neural Network for Skeleton-Based Action Recognition and Segmentation""",Middle,in {language_requested},ar,sharegpt
"Read and summarize the architecture design in ""Deep-Aligned Convolutional Neural Network for Skeleton-Based Action Recognition and Segmentation"". Write in Palestinian Arabic.",End,write in {language_requested},ar,sharegpt
Use Palestinian Arabic. What are the steps to become a conglomerate?,Start,use {language_requested},ar,sharegpt
What are the steps to become a conglomerate? Use Palestinian Arabic.,End,use {language_requested},ar,sharegpt
Write in Palestinian Arabic. What is the best way to forecast sales for a meal replacement product for the following year?,Start,write in {language_requested},ar,sharegpt
What is the best way to forecast sales for a meal replacement product for the following year? Write in Palestinian Arabic.,End,write in {language_requested},ar,sharegpt
