prompt,location,phrasing,language,source
Generate a blog post in Saudi Arabic of 500 words or less that discusses a chosen topic,Middle,in {language_requested},ar,okapi
Generate a blog post of 500 words or less that discusses a chosen topic. Respond in Saudi Arabic.,End,respond in {language_requested},ar,okapi
"Answer in Saudi Arabic. Compose an essay from the given statement.
The importance of music education in our lives.",Start,answer in {language_requested},ar,okapi
"Compose an essay in Saudi Arabic from the given statement.
The importance of music education in our lives.",Middle,in {language_requested},ar,okapi
"Compose an essay from the given statement.
The importance of music education in our lives. Reply in Saudi Arabic.",End,reply in {language_requested},ar,okapi
Answer in Saudi Arabic. Write a 250 word essay about Coral Reef Conservation,Start,answer in {language_requested},ar,okapi
Write a 250 word essay in Saudi Arabic about Coral Reef Conservation,Middle,in {language_requested},ar,okapi
Write a 250 word essay about Coral Reef Conservation. Use Saudi Arabic.,End,use {language_requested},ar,okapi
Reply in Saudi Arabic. Create a recipe for a delicious and healthy vegan three-course meal.,Start,reply in {language_requested},ar,okapi
Create a recipe in Saudi Arabic for a delicious and healthy vegan three-course meal.,Middle,in {language_requested},ar,okapi
Create a recipe for a delicious and healthy vegan three-course meal. Respond in Saudi Arabic.,End,respond in {language_requested},ar,okapi
"Use Saudi Arabic. Turn this sentence into a metaphor: ""The night sky was a blanket of stars"".",Start,use {language_requested},ar,okapi
"Turn this sentence into a metaphor in Saudi Arabic: ""The night sky was a blanket of stars"".",Middle,in {language_requested},ar,okapi
"Turn this sentence into a metaphor: ""The night sky was a blanket of stars"". Respond in Saudi Arabic.",End,respond in {language_requested},ar,okapi
Respond in Saudi Arabic. Write a 3-page article discussing the impact of COVID-19 on the global economy,Start,respond in {language_requested},ar,okapi
Write a 3-page article in Saudi Arabic discussing the impact of COVID-19 on the global economy,Middle,in {language_requested},ar,okapi
Write a 3-page article discussing the impact of COVID-19 on the global economy. Answer in Saudi Arabic.,End,answer in {language_requested},ar,okapi
Use Saudi Arabic. Write a sample essay of 500 words on the topic of artificial intelligence.,Start,use {language_requested},ar,okapi
Write a sample essay in Saudi Arabic of 500 words on the topic of artificial intelligence.,Middle,in {language_requested},ar,okapi
Write a sample essay of 500 words on the topic of artificial intelligence. Respond in Saudi Arabic.,End,respond in {language_requested},ar,okapi
Reply in Saudi Arabic. Write a short persuasive essay about the importance of voting.,Start,reply in {language_requested},ar,okapi
Write a short persuasive essay in Saudi Arabic about the importance of voting.,Middle,in {language_requested},ar,okapi
Write a short persuasive essay about the importance of voting. Write in Saudi Arabic.,End,write in {language_requested},ar,okapi
Use Saudi Arabic. Generate a blog post of at least 500 words about machine learning.,Start,use {language_requested},ar,okapi
Generate a blog post in Saudi Arabic of at least 500 words about machine learning.,Middle,in {language_requested},ar,okapi
Generate a blog post of at least 500 words about machine learning. Write in Saudi Arabic.,End,write in {language_requested},ar,okapi
Reply in Saudi Arabic. Write a blog post discussing the key ethical considerations of AI autonomous weapons.,Start,reply in {language_requested},ar,okapi
Write a blog post in Saudi Arabic discussing the key ethical considerations of AI autonomous weapons.,Middle,in {language_requested},ar,okapi
Write a blog post discussing the key ethical considerations of AI autonomous weapons. Respond in Saudi Arabic.,End,respond in {language_requested},ar,okapi
Reply in Saudi Arabic. Generate a scientific report of  900 words discussing the effects of global warming on the Arctic,Start,reply in {language_requested},ar,okapi
Generate a scientific report in Saudi Arabic of  900 words discussing the effects of global warming on the Arctic,Middle,in {language_requested},ar,okapi
Generate a scientific report of  900 words discussing the effects of global warming on the Arctic. Use Saudi Arabic.,End,use {language_requested},ar,okapi
Write in Saudi Arabic. Create a story for a children's book about a crocodile.,Start,write in {language_requested},ar,okapi
