prompt,location,phrasing,language,source
Generate an argumentative essay about the importance of healthy eating. Write in Palestinian Arabic.,End,write in {language_requested},ar,okapi
Answer in Palestinian Arabic. Write an opinion article on artificial intelligence in 500-700 words.,Start,answer in {language_requested},ar,okapi
Write an opinion article in Palestinian Arabic on artificial intelligence in 500-700 words.,Middle,in {language_requested},ar,okapi
Write an opinion article on artificial intelligence in 500-700 words. Use Palestinian Arabic.,End,use {language_requested},ar,okapi
Use Palestinian Arabic. Generate a creative story which is at least 500 words long.,Start,use {language_requested},ar,okapi
Generate a creative story in Palestinian Arabic which is at least 500 words long.,Middle,in {language_requested},ar,okapi
Generate a creative story which is at least 500 words long. Write in Palestinian Arabic.,End,write in {language_requested},ar,okapi
Respond in Palestinian Arabic. Generate an essay discussing the importance of recycling.,Start,respond in {language_requested},ar,okapi
Generate an essay in Palestinian Arabic discussing the importance of recycling.,Middle,in {language_requested},ar,okapi
Generate an essay discussing the importance of recycling. Write in Palestinian Arabic.,End,write in {language_requested},ar,okapi
Write in Palestinian Arabic. Write a 250-word article summarizing the changes brought about by Brexit.,Start,write in {language_requested},ar,okapi
Write a 250-word article in Palestinian Arabic summarizing the changes brought about by Brexit.,Middle,in {language_requested},ar,okapi
Write a 250-word article summarizing the changes brought about by Brexit. Write in Palestinian Arabic.,End,write in {language_requested},ar,okapi
Use Palestinian Arabic. Generate a 500-word story about a man who finds himself in an unfamiliar city.,Start,use {language_requested},ar,okapi
Generate a 500-word story in Palestinian Arabic about a man who finds himself in an unfamiliar city.,Middle,in {language_requested},ar,okapi
Generate a 500-word story about a man who finds himself in an unfamiliar city. Reply in Palestinian Arabic.,End,reply in {language_requested},ar,okapi
Reply in Palestinian Arabic. Generate a science fiction story of 500 words with the following prompt: A computer virus is released that allows people to travel through time,Start,reply in {language_requested},ar,okapi
Generate a science fiction story in Palestinian Arabic of 500 words with the following prompt: A computer virus is released that allows people to travel through time,Middle,in {language_requested},ar,okapi
Generate a science fiction story of 500 words with the following prompt: A computer virus is released that allows people to travel through time. Use Palestinian Arabic.,End,use {language_requested},ar,okapi
"Reply in Palestinian Arabic. Write a 500-word article on the topic of ""Effective Communication Skills"".",Start,reply in {language_requested},ar,okapi
"Write a 500-word article in Palestinian Arabic on the topic of ""Effective Communication Skills"".",Middle,in {language_requested},ar,okapi
"Write a 500-word article on the topic of ""Effective Communication Skills"". Reply in Palestinian Arabic.",End,reply in {language_requested},ar,okapi
Reply in Palestinian Arabic. Generate an essay of 500 words on the topic of machine learning.,Start,reply in {language_requested},ar,okapi
Generate an essay in Palestinian Arabic of 500 words on the topic of machine learning.,Middle,in {language_requested},ar,okapi
Generate an essay of 500 words on the topic of machine learning. Use Palestinian Arabic.,End,use {language_requested},ar,okapi
Respond in Palestinian Arabic. Compose a 500 word essay discussing the pros and cons of genetically modified food,Start,respond in {language_requested},ar,okapi
Compose a 500 word essay in Palestinian Arabic discussing the pros and cons of genetically modified food,Middle,in {language_requested},ar,okapi
Compose a 500 word essay discussing the pros and cons of genetically modified food. Write in Palestinian Arabic.,End,write in {language_requested},ar,okapi
Respond in Palestinian Arabic. Write a 500 word essay on the causes of poverty.,Start,respond in {language_requested},ar,okapi
Write a 500 word essay in Palestinian Arabic on the causes of poverty.,Middle,in {language_requested},ar,okapi
Write a 500 word essay on the causes of poverty. Reply in Palestinian Arabic.,End,reply in {language_requested},ar,okapi
Answer in Palestinian Arabic. Write a blog post advocating for teaching students coding skills in school.,Start,answer in {language_requested},ar,okapi
Write a blog post in Palestinian Arabic advocating for teaching students coding skills in school.,Middle,in {language_requested},ar,okapi
Write a blog post advocating for teaching students coding skills in school. Answer in Palestinian Arabic.,End,answer in {language_requested},ar,okapi
Write in Palestinian Arabic. Identify three types of government assistance that could help startups during the economic downturn.,Start,write in {language_requested},ar,okapi
Identify in Palestinian Arabic three types of government assistance that could help startups during the economic downturn.,Middle,in {language_requested},ar,okapi
Identify three types of government assistance that could help startups during the economic downturn. Answer in Palestinian Arabic.,End,answer in {language_requested},ar,okapi
Write in Palestinian Arabic. Write a 500-word story in the horror genre.,Start,write in {language_requested},ar,okapi
Write a 500-word story in Palestinian Arabic in the horror genre.,Middle,in {language_requested},ar,okapi
Write a 500-word story in the horror genre. Answer in Palestinian Arabic.,End,answer in {language_requested},ar,okapi
Reply in Palestinian Arabic. Generate a blog post of 500 words or less that discusses a chosen topic,Start,reply in {language_requested},ar,okapi
Generate a blog post in Palestinian Arabic of 500 words or less that discusses a chosen topic,Middle,in {language_requested},ar,okapi
Generate a blog post of 500 words or less that discusses a chosen topic. Respond in Palestinian Arabic.,End,respond in {language_requested},ar,okapi
"Answer in Palestinian Arabic. Compose an essay from the given statement.
The importance of music education in our lives.",Start,answer in {language_requested},ar,okapi
"Compose an essay in Palestinian Arabic from the given statement.
The importance of music education in our lives.",Middle,in {language_requested},ar,okapi
"Compose an essay from the given statement.
The importance of music education in our lives. Reply in Palestinian Arabic.",End,reply in {language_requested},ar,okapi
Answer in Palestinian Arabic. Write a 250 word essay about Coral Reef Conservation,Start,answer in {language_requested},ar,okapi
Write a 250 word essay in Palestinian Arabic about Coral Reef Conservation,Middle,in {language_requested},ar,okapi
Write a 250 word essay about Coral Reef Conservation. Use Palestinian Arabic.,End,use {language_requested},ar,okapi
Reply in Palestinian Arabic. Create a recipe for a delicious and healthy vegan three-course meal.,Start,reply in {language_requested},ar,okapi
Create a recipe in Palestinian Arabic for a delicious and healthy vegan three-course meal.,Middle,in {language_requested},ar,okapi
Create a recipe for a delicious and healthy vegan three-course meal. Respond in Palestinian Arabic.,End,respond in {language_requested},ar,okapi
"Use Palestinian Arabic. Turn this sentence into a metaphor: ""The night sky was a blanket of stars"".",Start,use {language_requested},ar,okapi
"Turn this sentence into a metaphor in Palestinian Arabic: ""The night sky was a blanket of stars"".",Middle,in {language_requested},ar,okapi
"Turn this sentence into a metaphor: ""The night sky was a blanket of stars"". Respond in Palestinian Arabic.",End,respond in {language_requested},ar,okapi
Respond in Palestinian Arabic. Write a 3-page article discussing the impact of COVID-19 on the global economy,Start,respond in {language_requested},ar,okapi
Write a 3-page article in Palestinian Arabic discussing the impact of COVID-19 on the global economy,Middle,in {language_requested},ar,okapi
Write a 3-page article discussing the impact of COVID-19 on the global economy. Answer in Palestinian Arabic.,End,answer in {language_requested},ar,okapi
Use Palestinian Arabic. Write a sample essay of 500 words on the topic of artificial intelligence.,Start,use {language_requested},ar,okapi
Write a sample essay in Palestinian Arabic of 500 words on the topic of artificial intelligence.,Middle,in {language_requested},ar,okapi
Write a sample essay of 500 words on the topic of artificial intelligence. Respond in Palestinian Arabic.,End,respond in {language_requested},ar,okapi
Reply in Palestinian Arabic. Write a short persuasive essay about the importance of voting.,Start,reply in {language_requested},ar,okapi
Write a short persuasive essay in Palestinian Arabic about the importance of voting.,Middle,in {language_requested},ar,okapi
Write a short persuasive essay about the importance of voting. Write in Palestinian Arabic.,End,write in {language_requested},ar,okapi
Use Palestinian Arabic. Generate a blog post of at least 500 words about machine learning.,Start,use {language_requested},ar,okapi
Generate a blog post in Palestinian Arabic of at least 500 words about machine learning.,Middle,in {language_requested},ar,okapi
Generate a blog post of at least 500 words about machine learning. Write in Palestinian Arabic.,End,write in {language_requested},ar,okapi
Reply in Palestinian Arabic. Write a blog post discussing the key ethical considerations of AI autonomous weapons.,Start,reply in {language_requested},ar,okapi
Write a blog post in Palestinian Arabic discussing the key ethical considerations of AI autonomous weapons.,Middle,in {language_requested},ar,okapi
Write a blog post discussing the key ethical considerations of AI autonomous weapons. Respond in Palestinian Arabic.,End,respond in {language_requested},ar,okapi
Reply in Palestinian Arabic. Generate a scientific report of  900 words discussing the effects of global warming on the Arctic,Start,reply in {language_requested},ar,okapi
Generate a scientific report in Palestinian Arabic of  900 words discussing the effects of global warming on the Arctic,Middle,in {language_requested},ar,okapi
Generate a scientific report of  900 words discussing the effects of global warming on the Arctic. Use Palestinian Arabic.,End,use {language_requested},ar,okapi
Write in Palestinian Arabic. Create a story for a children's book about a crocodile.,Start,write in {language_requested},ar,okapi
