prompt,location,phrasing,language,source
Use Syrian Arabic. Generate a 500-word story about a man who finds himself in an unfamiliar city.,Start,use {language_requested},ar,okapi
Generate a 500-word story in Syrian Arabic about a man who finds himself in an unfamiliar city.,Middle,in {language_requested},ar,okapi
Generate a 500-word story about a man who finds himself in an unfamiliar city. Reply in Syrian Arabic.,End,reply in {language_requested},ar,okapi
Reply in Syrian Arabic. Generate a science fiction story of 500 words with the following prompt: A computer virus is released that allows people to travel through time,Start,reply in {language_requested},ar,okapi
Generate a science fiction story in Syrian Arabic of 500 words with the following prompt: A computer virus is released that allows people to travel through time,Middle,in {language_requested},ar,okapi
Generate a science fiction story of 500 words with the following prompt: A computer virus is released that allows people to travel through time. Use Syrian Arabic.,End,use {language_requested},ar,okapi
"Reply in Syrian Arabic. Write a 500-word article on the topic of ""Effective Communication Skills"".",Start,reply in {language_requested},ar,okapi
"Write a 500-word article in Syrian Arabic on the topic of ""Effective Communication Skills"".",Middle,in {language_requested},ar,okapi
"Write a 500-word article on the topic of ""Effective Communication Skills"". Reply in Syrian Arabic.",End,reply in {language_requested},ar,okapi
Reply in Syrian Arabic. Generate an essay of 500 words on the topic of machine learning.,Start,reply in {language_requested},ar,okapi
Generate an essay in Syrian Arabic of 500 words on the topic of machine learning.,Middle,in {language_requested},ar,okapi
Generate an essay of 500 words on the topic of machine learning. Use Syrian Arabic.,End,use {language_requested},ar,okapi
Respond in Syrian Arabic. Compose a 500 word essay discussing the pros and cons of genetically modified food,Start,respond in {language_requested},ar,okapi
Compose a 500 word essay in Syrian Arabic discussing the pros and cons of genetically modified food,Middle,in {language_requested},ar,okapi
Compose a 500 word essay discussing the pros and cons of genetically modified food. Write in Syrian Arabic.,End,write in {language_requested},ar,okapi
Respond in Syrian Arabic. Write a 500 word essay on the causes of poverty.,Start,respond in {language_requested},ar,okapi
Write a 500 word essay in Syrian Arabic on the causes of poverty.,Middle,in {language_requested},ar,okapi
Write a 500 word essay on the causes of poverty. Reply in Syrian Arabic.,End,reply in {language_requested},ar,okapi
Answer in Syrian Arabic. Write a blog post advocating for teaching students coding skills in school.,Start,answer in {language_requested},ar,okapi
Write a blog post in Syrian Arabic advocating for teaching students coding skills in school.,Middle,in {language_requested},ar,okapi
Write a blog post advocating for teaching students coding skills in school. Answer in Syrian Arabic.,End,answer in {language_requested},ar,okapi
Write in Syrian Arabic. Identify three types of government assistance that could help startups during the economic downturn.,Start,write in {language_requested},ar,okapi
Identify in Syrian Arabic three types of government assistance that could help startups during the economic downturn.,Middle,in {language_requested},ar,okapi
Identify three types of government assistance that could help startups during the economic downturn. Answer in Syrian Arabic.,End,answer in {language_requested},ar,okapi
Write in Syrian Arabic. Write a 500-word story in the horror genre.,Start,write in {language_requested},ar,okapi
Write a 500-word story in Syrian Arabic in the horror genre.,Middle,in {language_requested},ar,okapi
Write a 500-word story in the horror genre. Answer in Syrian Arabic.,End,answer in {language_requested},ar,okapi
Reply in Syrian Arabic. Generate a blog post of 500 words or less that discusses a chosen topic,Start,reply in {language_requested},ar,okapi
Generate a blog post in Syrian Arabic of 500 words or less that discusses a chosen topic,Middle,in {language_requested},ar,okapi
Generate a blog post of 500 words or less that discusses a chosen topic. Respond in Syrian Arabic.,End,respond in {language_requested},ar,okapi
"Answer in Syrian Arabic. Compose an essay from the given statement.
The importance of music education in our lives.",Start,answer in {language_requested},ar,okapi
"Compose an essay in Syrian Arabic from the given statement.
The importance of music education in our lives.",Middle,in {language_requested},ar,okapi
"Compose an essay from the given statement.
The importance of music education in our lives. Reply in Syrian Arabic.",End,reply in {language_requested},ar,okapi
Answer in Syrian Arabic. Write a 250 word essay about Coral Reef Conservation,Start,answer in {language_requested},ar,okapi
Write a 250 word essay in Syrian Arabic about Coral Reef Conservation,Middle,in {language_requested},ar,okapi
Write a 250 word essay about Coral Reef Conservation. Use Syrian Arabic.,End,use {language_requested},ar,okapi
Reply in Syrian Arabic. Create a recipe for a delicious and healthy vegan three-course meal.,Start,reply in {language_requested},ar,okapi
Create a recipe in Syrian Arabic for a delicious and healthy vegan three-course meal.,Middle,in {language_requested},ar,okapi
Create a recipe for a delicious and healthy vegan three-course meal. Respond in Syrian Arabic.,End,respond in {language_requested},ar,okapi
"Use Syrian Arabic. Turn this sentence into a metaphor: ""The night sky was a blanket of stars"".",Start,use {language_requested},ar,okapi
"Turn this sentence into a metaphor in Syrian Arabic: ""The night sky was a blanket of stars"".",Middle,in {language_requested},ar,okapi
"Turn this sentence into a metaphor: ""The night sky was a blanket of stars"". Respond in Syrian Arabic.",End,respond in {language_requested},ar,okapi
Respond in Syrian Arabic. Write a 3-page article discussing the impact of COVID-19 on the global economy,Start,respond in {language_requested},ar,okapi
Write a 3-page article in Syrian Arabic discussing the impact of COVID-19 on the global economy,Middle,in {language_requested},ar,okapi
Write a 3-page article discussing the impact of COVID-19 on the global economy. Answer in Syrian Arabic.,End,answer in {language_requested},ar,okapi
Use Syrian Arabic. Write a sample essay of 500 words on the topic of artificial intelligence.,Start,use {language_requested},ar,okapi
Write a sample essay in Syrian Arabic of 500 words on the topic of artificial intelligence.,Middle,in {language_requested},ar,okapi
Write a sample essay of 500 words on the topic of artificial intelligence. Respond in Syrian Arabic.,End,respond in {language_requested},ar,okapi
Reply in Syrian Arabic. Write a short persuasive essay about the importance of voting.,Start,reply in {language_requested},ar,okapi
Write a short persuasive essay in Syrian Arabic about the importance of voting.,Middle,in {language_requested},ar,okapi
Write a short persuasive essay about the importance of voting. Write in Syrian Arabic.,End,write in {language_requested},ar,okapi
Use Syrian Arabic. Generate a blog post of at least 500 words about machine learning.,Start,use {language_requested},ar,okapi
Generate a blog post in Syrian Arabic of at least 500 words about machine learning.,Middle,in {language_requested},ar,okapi
Generate a blog post of at least 500 words about machine learning. Write in Syrian Arabic.,End,write in {language_requested},ar,okapi
Reply in Syrian Arabic. Write a blog post discussing the key ethical considerations of AI autonomous weapons.,Start,reply in {language_requested},ar,okapi
Write a blog post in Syrian Arabic discussing the key ethical considerations of AI autonomous weapons.,Middle,in {language_requested},ar,okapi
Write a blog post discussing the key ethical considerations of AI autonomous weapons. Respond in Syrian Arabic.,End,respond in {language_requested},ar,okapi
Reply in Syrian Arabic. Generate a scientific report of  900 words discussing the effects of global warming on the Arctic,Start,reply in {language_requested},ar,okapi
Generate a scientific report in Syrian Arabic of  900 words discussing the effects of global warming on the Arctic,Middle,in {language_requested},ar,okapi
Generate a scientific report of  900 words discussing the effects of global warming on the Arctic. Use Syrian Arabic.,End,use {language_requested},ar,okapi
Write in Syrian Arabic. Create a story for a children's book about a crocodile.,Start,write in {language_requested},ar,okapi
