Unnamed: 0,songID,Singer,SongTitle,SongWriter,Composer,LyricsOrder,Lyrics,SingerNationality,SongDialect
23.0,14917.0,احمد كامل,شمس بلا نار,غير معروف,غير معروف,3.0,بلا عين تبكينى,Palestine,Levantine
24.0,14917.0,احمد كامل,شمس بلا نار,غير معروف,غير معروف,4.0,ما بدى اروح .. ما بدنا جروح,Palestine,Levantine
25.0,14917.0,احمد كامل,شمس بلا نار,غير معروف,غير معروف,5.0,وع كفوف اصحابى يشيلونى,Palestine,Levantine
26.0,14917.0,احمد كامل,شمس بلا نار,غير معروف,غير معروف,6.0,بدى اعيش .. ماخاف الليل,Palestine,Levantine
27.0,14917.0,احمد كامل,شمس بلا نار,غير معروف,غير معروف,7.0,ورفقاتى ببكاهم ينادونى,Palestine,Levantine
28.0,14917.0,احمد كامل,شمس بلا نار,غير معروف,غير معروف,8.0,بدى نهار .. وشمس بلا نار,Palestine,Levantine
29.0,14917.0,احمد كامل,شمس بلا نار,غير معروف,غير معروف,9.0,ولعب الحومه مثل ما كنا صغار,Palestine,Levantine
30.0,14917.0,احمد كامل,شمس بلا نار,غير معروف,غير معروف,10.0,بدى انام مرتاح .. بلا رصاص,Palestine,Levantine
31.0,14917.0,احمد كامل,شمس بلا نار,غير معروف,غير معروف,11.0,بلا صراخ وصوت قناص يضحك بقتل ابوى ييتمنى,Palestine,Levantine
32.0,14917.0,احمد كامل,شمس بلا نار,غير معروف,غير معروف,12.0,اطفال اصغار وقلب رجال فى نار نفوت .. لا كنا نخاف ع هد بيوت,Palestine,Levantine
33.0,14917.0,احمد كامل,شمس بلا نار,غير معروف,غير معروف,13.0,ولا م الليل يدبحنى,Palestine,Levantine
34.0,23036.0,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,1.0,توهتي و خليتي الحياة تبقى صعبة و لسة بشكيكي لليل,Palestine,Levantine
35.0,23036.0,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,2.0,عمري لو دايم اخافك تروحي و تنزل دموعي يا عيني,Palestine,Levantine
36.0,23036.0,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,3.0,قلبي اللي عاش جوة منك مكسور الجناح و ما بيطير,Palestine,Levantine
37.0,23036.0,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,4.0,زي اللي كان بيخاف و بقي ابن ليل بيخاف و بقي ابن ليل,Palestine,Levantine
38.0,23036.0,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,5.0,خوفتي تخليني ابقي كارهك و عارف يا قلبي انه صعب,Palestine,Levantine
39.0,23036.0,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,6.0,عمرك بيعدي امبارح و شايفك ضفايرك و ضحكك و لعب,Palestine,Levantine
40.0,23036.0,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,7.0,كبرتي و قويتي و اول ما خونتي اختارتيني اكون الضحية,Palestine,Levantine
41.0,23036.0,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,8.0,مكنتش مصدق بقول ازاي مبقتش هي خلاص مبقتش هي,Palestine,Levantine
42.0,23036.0,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,9.0,اختارتي الطريق مشيتي لبعيد الوقت بيفوت بالبطيء,Palestine,Levantine
43.0,23036.0,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,10.0,العمر بيديق مليت اكون وحيد فراقك بيوجع بيزيد,Palestine,Levantine
44.0,23036.0,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,11.0,مبقتش اخاف م الليل مبقتش اخاف من الليل مبقتش اخاف,Palestine,Levantine
45.0,23036.0,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,12.0,كنتي سندي و امي و حضنك بيدفي الحياة مابحلاش الا فيه,Palestine,Levantine
46.0,23036.0,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,13.0,الوقت بيعدي قالولي انك كرهتي مع اني حبيتك كتير,Palestine,Levantine
47.0,23036.0,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,14.0,و شوفتك في حضنه بتقولي الكلام اللي قولتي متقالش الا ليك,Palestine,Levantine
48.0,23036.0,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,15.0,اراهن بعمري لو حتى كان حبك و ان انتي مكانك كتير,Palestine,Levantine
49.0,23036.0,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,16.0,مبقتش اخاف م الليل بيخاف وبقي ابن ليل مبقتش اخاف م الليل,Palestine,Levantine
50.0,23036.0,احمد كامل,مبقتش اخاف,احمد كامل,احمد كامل,17.0,مابقتش اخاف م الليل مابقتش اخاف م الليل مابقتش اخاف م الليل,Palestine,Levantine
51.0,23722.0,احمد كامل,مش شرط,احمد كامل,احمد كامل,1.0,مش شرط يبقى السكوت رضا,Palestine,Levantine
52.0,23722.0,احمد كامل,مش شرط,احمد كامل,احمد كامل,2.0,يمكن سكوتنا عن الكلام كان سببه خوف,Palestine,Levantine
53.0,23722.0,احمد كامل,مش شرط,احمد كامل,احمد كامل,3.0,تايهين ما بين ده وده وقلوبنا تتيتم بحجة الظروف,Palestine,Levantine
54.0,23722.0,احمد كامل,مش شرط,احمد كامل,احمد كامل,4.0,قلبي معلمنيش غير الوجع والاه,Palestine,Levantine
55.0,23722.0,احمد كامل,مش شرط,احمد كامل,احمد كامل,5.0,بنعيش على ذكرى من الماضي للحاضر,Palestine,Levantine
56.0,23722.0,احمد كامل,مش شرط,احمد كامل,احمد كامل,6.0,ياما البكى محبوس لكن الكلام فياض,Palestine,Levantine
57.0,23722.0,احمد كامل,مش شرط,احمد كامل,احمد كامل,7.0,كلمتها وسلمت لكن الفراق شاطر,Palestine,Levantine
58.0,23722.0,احمد كامل,مش شرط,احمد كامل,احمد كامل,8.0,غمضت عيني وليه وكاني ما حبيت,Palestine,Levantine
59.0,23722.0,احمد كامل,مش شرط,احمد كامل,احمد كامل,9.0,غربتي حيلة القلب وبكينا على روحنا,Palestine,Levantine
60.0,23722.0,احمد كامل,مش شرط,احمد كامل,احمد كامل,10.0,مع اني فيكي بموت وعملت قلبي بيت,Palestine,Levantine
61.0,23722.0,احمد كامل,مش شرط,احمد كامل,احمد كامل,11.0,يفضل غنايا طريق للشكوى في جروحنا,Palestine,Levantine
62.0,16770.0,ايمن امين,عشقان,مصطفى زمزم,ناصر الأسعد,1.0,عشقان سهران ع غيابك حبيبي,Palestine,Levantine
63.0,16770.0,ايمن امين,عشقان,مصطفى زمزم,ناصر الأسعد,2.0,تعبان خيفان ما ترجع حبيبي,Palestine,Levantine
64.0,16770.0,ايمن امين,عشقان,مصطفى زمزم,ناصر الأسعد,3.0,عشقان سهران ع غيابك حبيبي,Palestine,Levantine
65.0,16770.0,ايمن امين,عشقان,مصطفى زمزم,ناصر الأسعد,4.0,تعبان خيفان ما ترجع حبيبي,Palestine,Levantine
66.0,16770.0,ايمن امين,عشقان,مصطفى زمزم,ناصر الأسعد,5.0,انا عايش غربة ايامي صعبة,Palestine,Levantine
67.0,16770.0,ايمن امين,عشقان,مصطفى زمزم,ناصر الأسعد,6.0,لا تطول حبيبي انا خايف من بكرة,Palestine,Levantine
68.0,16770.0,ايمن امين,عشقان,مصطفى زمزم,ناصر الأسعد,7.0,أنا عايش غربة أيامي صعبة,Palestine,Levantine
69.0,16770.0,ايمن امين,عشقان,مصطفى زمزم,ناصر الأسعد,8.0,لا تطول حبيبي أنا خايف من بكرة,Palestine,Levantine
70.0,16770.0,ايمن امين,عشقان,مصطفى زمزم,ناصر الأسعد,9.0,بالثواني والساعات عم بنطر حبيبي,Palestine,Levantine
71.0,16770.0,ايمن امين,عشقان,مصطفى زمزم,ناصر الأسعد,10.0,معقول ما ترجع تنساني يا حبيبي,Palestine,Levantine
72.0,16770.0,ايمن امين,عشقان,مصطفى زمزم,ناصر الأسعد,11.0,بالثواني والساعات عم بنطر حبيبي,Palestine,Levantine
73.0,16770.0,ايمن امين,عشقان,مصطفى زمزم,ناصر الأسعد,12.0,معقول ما ترجع تنساني يا حبيبي,Palestine,Levantine
74.0,16770.0,ايمن امين,عشقان,مصطفى زمزم,ناصر الأسعد,13.0,أنا عايش غربة أيامي صعبة,Palestine,Levantine
75.0,16770.0,ايمن امين,عشقان,مصطفى زمزم,ناصر الأسعد,14.0,لا تطول حبيبي أنا خايف من بكرة,Palestine,Levantine
76.0,16770.0,ايمن امين,عشقان,مصطفى زمزم,ناصر الأسعد,15.0,أنا عايش غربة أيامي صعبة,Palestine,Levantine
77.0,16770.0,ايمن امين,عشقان,مصطفى زمزم,ناصر الأسعد,16.0,لا تطول حبيبي أنا خايف من بكرة,Palestine,Levantine
0.0,24678.0,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,1.0,من يقول ان الهوى دايم جراح,Saudi_Arabia,Gulf
1.0,24678.0,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,2.0,من يقول ليل الهوى مالو صباح,Saudi_Arabia,Gulf
2.0,24678.0,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,3.0,ماعرف في الحب حبك,Saudi_Arabia,Gulf
3.0,24678.0,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,4.0,ما عشق ياعيوني قلبك,Saudi_Arabia,Gulf
4.0,24678.0,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,5.0,لو يعيش ساعه في قربك,Saudi_Arabia,Gulf
5.0,24678.0,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,6.0,كان درى ان الهوى افراح .. ان الهوى افراح,Saudi_Arabia,Gulf
6.0,24678.0,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,7.0,يابعد عمري وبعد روحي كمان,Saudi_Arabia,Gulf
7.0,24678.0,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,8.0,من عرفتك دنتي صارت امان,Saudi_Arabia,Gulf
8.0,24678.0,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,9.0,من يلوم القلب لا اصبح اسير,Saudi_Arabia,Gulf
9.0,24678.0,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,10.0,ذبل لسان البسمه وهمسات الحنان,Saudi_Arabia,Gulf
10.0,24678.0,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,11.0,ماعرف في الحب حبك,Saudi_Arabia,Gulf
11.0,24678.0,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,12.0,ما عشق ياعيوني قلبك,Saudi_Arabia,Gulf
12.0,24678.0,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,13.0,لو يعيش ساعه في قربك,Saudi_Arabia,Gulf
13.0,24678.0,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,14.0,كان درى ان الهوى افراح .. ان الهوى افراح,Saudi_Arabia,Gulf
14.0,24678.0,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,15.0,ياحبيبي خل عنك الحاسدين,Saudi_Arabia,Gulf
15.0,24678.0,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,16.0,ضيعوا من عمرهم احلى السنين,Saudi_Arabia,Gulf
16.0,24678.0,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,17.0,من يظن ان الهوى دايم عنا,Saudi_Arabia,Gulf
17.0,24678.0,ابراهيم الحكمي,من يقول,بندر بن فهد,بندر بن فهد,18.0,في العنا لذة حياة العاشقين,Saudi_Arabia,Gulf
18.0,28096.0,ابو بكر سالم بلفقيه,يا سمار,ابو بكر سالم,ابو بكر سالم,1.0,ياسمار مايحلى السمر الا بصوت الدان ياسمار,Saudi_Arabia,Gulf
19.0,28096.0,ابو بكر سالم بلفقيه,يا سمار,ابو بكر سالم,ابو بكر سالم,2.0,انا تحملت مرارات الهوى والجور والنكران منك,Saudi_Arabia,Gulf
20.0,28096.0,ابو بكر سالم بلفقيه,يا سمار,ابو بكر سالم,ابو بكر سالم,3.0,يازمن يكفي ترى الحال استوى,Saudi_Arabia,Gulf
21.0,28096.0,ابو بكر سالم بلفقيه,يا سمار,ابو بكر سالم,ابو بكر سالم,4.0,حتى الذي اهواه من قلبي,Saudi_Arabia,Gulf
22.0,28096.0,ابو بكر سالم بلفقيه,يا سمار,ابو بكر سالم,ابو بكر سالم,5.0,هوى والدار غير الدار,Saudi_Arabia,Gulf
23.0,28096.0,ابو بكر سالم بلفقيه,يا سمار,ابو بكر سالم,ابو بكر سالم,6.0,مديت في هجرك كفى والله كفى,Saudi_Arabia,Gulf
24.0,28096.0,ابو بكر سالم بلفقيه,يا سمار,ابو بكر سالم,ابو بكر سالم,7.0,ذا الصد والهجران منك سامحك ربي لما هذا الجفا,Saudi_Arabia,Gulf
25.0,28096.0,ابو بكر سالم بلفقيه,يا سمار,ابو بكر سالم,ابو بكر سالم,8.0,وين الموده الاوله هي والصفا .. خليتني محتار,Saudi_Arabia,Gulf
26.0,28096.0,ابو بكر سالم بلفقيه,يا سمار,ابو بكر سالم,ابو بكر سالم,9.0,ليني يسامرني وطيفك مااكتفى,Saudi_Arabia,Gulf
27.0,28096.0,ابو بكر سالم بلفقيه,يا سمار,ابو بكر سالم,ابو بكر سالم,10.0,يسأل نجوم الظهر منك,Saudi_Arabia,Gulf
28.0,28096.0,ابو بكر سالم بلفقيه,يا سمار,ابو بكر سالم,ابو بكر سالم,11.0,والفكر تسري وجفني ماغفى,Saudi_Arabia,Gulf
29.0,28096.0,ابو بكر سالم بلفقيه,يا سمار,ابو بكر سالم,ابو بكر سالم,12.0,يالهفة المشتاق شوقي ماانطفى .. يلهب لهيب النار,Saudi_Arabia,Gulf
30.0,1826.0,جواد العلي,اسمعك,يم,عبد الله مسلم,1.0,اسمعك من غير ما اسمع صوتك,Saudi_Arabia,Gulf
31.0,1826.0,جواد العلي,اسمعك,يم,عبد الله مسلم,2.0,افهمك حتى في وقت سكوتك,Saudi_Arabia,Gulf
32.0,1826.0,جواد العلي,اسمعك,يم,عبد الله مسلم,3.0,انحرم من كل شي الا انت,Saudi_Arabia,Gulf
33.0,1826.0,جواد العلي,اسمعك,يم,عبد الله مسلم,4.0,اموت عنك لو يوافق موتك,Saudi_Arabia,Gulf
34.0,1826.0,جواد العلي,اسمعك,يم,عبد الله مسلم,5.0,الهوا وشهو الهوا من دونك,Saudi_Arabia,Gulf
35.0,1826.0,جواد العلي,اسمعك,يم,عبد الله مسلم,6.0,السما نجومها يبكوك,Saudi_Arabia,Gulf
36.0,1826.0,جواد العلي,اسمعك,يم,عبد الله مسلم,7.0,لاتغيب عني تكفى لا تغيب,Saudi_Arabia,Gulf
37.0,1826.0,جواد العلي,اسمعك,يم,عبد الله مسلم,8.0,اشواقي والاحساس يترجونك,Saudi_Arabia,Gulf
38.0,1826.0,جواد العلي,اسمعك,يم,عبد الله مسلم,9.0,اعشقك اليوم امس وباكر,Saudi_Arabia,Gulf
39.0,1826.0,جواد العلي,اسمعك,يم,عبد الله مسلم,10.0,عشقنا ماله نهايه واخر,Saudi_Arabia,Gulf
40.0,1826.0,جواد العلي,اسمعك,يم,عبد الله مسلم,11.0,تبتعد عني دقيقه يا حرام,Saudi_Arabia,Gulf
41.0,1826.0,جواد العلي,اسمعك,يم,عبد الله مسلم,12.0,وانا اللي عنك لحظه مو قادر,Saudi_Arabia,Gulf
42.0,15764.0,داليا مبارك,طار طيرك,غير معروف,غير معروف,1.0,اللي جابك جاب غيرك ما أبي شرك وخيرك,Saudi_Arabia,Gulf
43.0,15764.0,داليا مبارك,طار طيرك,غير معروف,غير معروف,2.0,ذاك الاول كنت احبك يا حبيبي طار طيرك,Saudi_Arabia,Gulf
44.0,15764.0,داليا مبارك,طار طيرك,غير معروف,غير معروف,3.0,بالعشق صاير مزاجي وانا يمه حيل احتياجي,Saudi_Arabia,Gulf
45.0,15764.0,داليا مبارك,طار طيرك,غير معروف,غير معروف,4.0,صرت مدمن ابتسامك وانت ادمنت انزعاجي,Saudi_Arabia,Gulf
46.0,15764.0,داليا مبارك,طار طيرك,غير معروف,غير معروف,5.0,ويلي ويلي اللي جابك ويلي ويل جاب غيرك,Saudi_Arabia,Gulf
47.0,15764.0,داليا مبارك,طار طيرك,غير معروف,غير معروف,6.0,ويلي ويلي حبيبي طار طيرك طار طيرك,Saudi_Arabia,Gulf
48.0,15764.0,داليا مبارك,طار طيرك,غير معروف,غير معروف,7.0,طاح حبك في هوانا وربي عن حبك غنانا,Saudi_Arabia,Gulf
49.0,15764.0,داليا مبارك,طار طيرك,غير معروف,غير معروف,8.0,تدري انه صعب نذكر بالهوى من هو نسانا,Saudi_Arabia,Gulf
50.0,15764.0,داليا مبارك,طار طيرك,غير معروف,غير معروف,9.0,شوفلك بالحب غيري وانسى حبي يا عشيري,Saudi_Arabia,Gulf
51.0,15764.0,داليا مبارك,طار طيرك,غير معروف,غير معروف,10.0,انت عارف وش مصيرك وانا اعرف وش مصيري,Saudi_Arabia,Gulf
52.0,15764.0,داليا مبارك,طار طيرك,غير معروف,غير معروف,11.0,دايم بحبك تكابر وانا ياما كنت صابر,Saudi_Arabia,Gulf
53.0,15764.0,داليا مبارك,طار طيرك,غير معروف,غير معروف,12.0,تدري وش معنى الندامة بالعشق كسر الخواطر,Saudi_Arabia,Gulf
54.0,15764.0,داليا مبارك,طار طيرك,غير معروف,غير معروف,13.0,ودام هذي هي النهاية اجمع شتات البداية,Saudi_Arabia,Gulf
55.0,15764.0,داليا مبارك,طار طيرك,غير معروف,غير معروف,14.0,وان كان ع الذكرى تطمن باخذ جروحي معايا,Saudi_Arabia,Gulf
56.0,14293.0,رابح صقر,سهرتنا,عبد الله بن بندر,رابح صقر,1.0,سهرتنا الليلة خلوها صباحي,Saudi_Arabia,Gulf
57.0,14293.0,رابح صقر,سهرتنا,عبد الله بن بندر,رابح صقر,2.0,حلوه محبتنا وفينا الهوى صاحي,Saudi_Arabia,Gulf
58.0,14293.0,رابح صقر,سهرتنا,عبد الله بن بندر,رابح صقر,3.0,نعشق بعض وإحنا في الحب مجتمعين,Saudi_Arabia,Gulf
59.0,14293.0,رابح صقر,سهرتنا,عبد الله بن بندر,رابح صقر,4.0,من قدنا الليلة أنا ونور العين,Saudi_Arabia,Gulf
60.0,14293.0,رابح صقر,سهرتنا,عبد الله بن بندر,رابح صقر,5.0,مدامه قدامي أنا وشوق بخير,Saudi_Arabia,Gulf
61.0,14293.0,رابح صقر,سهرتنا,عبد الله بن بندر,رابح صقر,6.0,أضمه بحضاني وأحس حضنه غير,Saudi_Arabia,Gulf
62.0,14293.0,رابح صقر,سهرتنا,عبد الله بن بندر,رابح صقر,7.0,في الحب أنا وياه من يقدر يجارينا,Saudi_Arabia,Gulf
63.0,14293.0,رابح صقر,سهرتنا,عبد الله بن بندر,رابح صقر,8.0,والحب ما يفارق ليله من ليالينا,Saudi_Arabia,Gulf
64.0,22564.0,رابح صقر,ما هو أنت,غير معروف,غير معروف,1.0,ما هو أنت اللي تكلّمني كذا,Saudi_Arabia,Gulf
65.0,22564.0,رابح صقر,ما هو أنت,غير معروف,غير معروف,2.0,أنت ما ترضى تزعّلني عليك,Saudi_Arabia,Gulf
66.0,22564.0,رابح صقر,ما هو أنت,غير معروف,غير معروف,3.0,في كلامك ما تسبّب لي أذى,Saudi_Arabia,Gulf
67.0,22564.0,رابح صقر,ما هو أنت,غير معروف,غير معروف,4.0,كيف تجرحني و أنا بـ الحيل أبيك,Saudi_Arabia,Gulf
68.0,22564.0,رابح صقر,ما هو أنت,غير معروف,غير معروف,5.0,لا توصلني معك قولة و إذا,Saudi_Arabia,Gulf
69.0,22564.0,رابح صقر,ما هو أنت,غير معروف,غير معروف,6.0,إذا قلت أني ترى ما عاد أجيك,Saudi_Arabia,Gulf
70.0,22564.0,رابح صقر,ما هو أنت,غير معروف,غير معروف,7.0,ياما قلبي لك عطى و قلبك خذا,Saudi_Arabia,Gulf
71.0,22564.0,رابح صقر,ما هو أنت,غير معروف,غير معروف,8.0,أنا منك يا هوى بالي و فيك,Saudi_Arabia,Gulf
72.0,22564.0,رابح صقر,ما هو أنت,غير معروف,غير معروف,9.0,أنت ورد الحُب و أنفاسك شذى,Saudi_Arabia,Gulf
73.0,22564.0,رابح صقر,ما هو أنت,غير معروف,غير معروف,10.0,لا تغلّى شفني مشتاق أحتريك,Saudi_Arabia,Gulf
74.0,22564.0,رابح صقر,ما هو أنت,غير معروف,غير معروف,11.0,معك وضعي لا كذا ولا كذا,Saudi_Arabia,Gulf
75.0,22564.0,رابح صقر,ما هو أنت,غير معروف,غير معروف,12.0,و السبب معروف الله يهديك﻿,Saudi_Arabia,Gulf
76.0,3994.0,راشد الماجد,الف هلا,تركي المشيقح,احمد الهرمي,1.0,الف آهلا .. والف سهلا,Saudi_Arabia,Gulf
77.0,3994.0,راشد الماجد,الف هلا,تركي المشيقح,احمد الهرمي,2.0,الفضا ضاق بـ محبك ياعيون اللي يحبك,Saudi_Arabia,Gulf
78.0,3994.0,راشد الماجد,الف هلا,تركي المشيقح,احمد الهرمي,3.0,ياعوضنا في كل شي حتى في غيابك وفي,Saudi_Arabia,Gulf
79.0,3994.0,راشد الماجد,الف هلا,تركي المشيقح,احمد الهرمي,4.0,الف اهلا .. اهلا والف سهلا,Saudi_Arabia,Gulf
80.0,3994.0,راشد الماجد,الف هلا,تركي المشيقح,احمد الهرمي,5.0,شفت كيف العارض البارح تعطر,Saudi_Arabia,Gulf
81.0,3994.0,راشد الماجد,الف هلا,تركي المشيقح,احمد الهرمي,6.0,شفت كيف طويق يضحك ويتبختر,Saudi_Arabia,Gulf
82.0,3994.0,راشد الماجد,الف هلا,تركي المشيقح,احمد الهرمي,7.0,وشفت كيف قلوبنا لبست مرودن,Saudi_Arabia,Gulf
83.0,3994.0,راشد الماجد,الف هلا,تركي المشيقح,احمد الهرمي,8.0,وتعرض فرحه يافرحة كل ضايق,Saudi_Arabia,Gulf
84.0,3994.0,راشد الماجد,الف هلا,تركي المشيقح,احمد الهرمي,9.0,وانت ضايق .. ياسندنا يافرحنا يا امل بكره وبعده,Saudi_Arabia,Gulf
85.0,3994.0,راشد الماجد,الف هلا,تركي المشيقح,احمد الهرمي,10.0,الف اهلا .. اهلا والف سهلا,Saudi_Arabia,Gulf
86.0,3994.0,راشد الماجد,الف هلا,تركي المشيقح,احمد الهرمي,11.0,وانت غايب يبست عروق النخيل,Saudi_Arabia,Gulf
87.0,3994.0,راشد الماجد,الف هلا,تركي المشيقح,احمد الهرمي,12.0,مارواها الدمع في غيابك بخيل,Saudi_Arabia,Gulf
88.0,3994.0,راشد الماجد,الف هلا,تركي المشيقح,احمد الهرمي,13.0,يا آيه في العطا يابو العطا يابو الوفا,Saudi_Arabia,Gulf
89.0,3994.0,راشد الماجد,الف هلا,تركي المشيقح,احمد الهرمي,14.0,ياكل شيٍ خالقه ربي جميل,Saudi_Arabia,Gulf
90.0,3994.0,راشد الماجد,الف هلا,تركي المشيقح,احمد الهرمي,15.0,طالبينك لانويت تغيب مره,Saudi_Arabia,Gulf
91.0,3994.0,راشد الماجد,الف هلا,تركي المشيقح,احمد الهرمي,16.0,احسب حساب المواجع الف مره,Saudi_Arabia,Gulf
92.0,3994.0,راشد الماجد,الف هلا,تركي المشيقح,احمد الهرمي,17.0,والف اهلا والف سهلا ..,Saudi_Arabia,Gulf
93.0,3994.0,راشد الماجد,الف هلا,تركي المشيقح,احمد الهرمي,18.0,مرت اسماء ومرت اطياف توارد,Saudi_Arabia,Gulf
94.0,3994.0,راشد الماجد,الف هلا,تركي المشيقح,احمد الهرمي,19.0,يبقى انت و بس انت بقلبي خالد,Saudi_Arabia,Gulf
95.0,3994.0,راشد الماجد,الف هلا,تركي المشيقح,احمد الهرمي,20.0,الف اهلا .. اهلا والف سهلا,Saudi_Arabia,Gulf
96.0,4302.0,راشد الماجد,الله لا يجيب الزعل,احمد عبد الحق,صالح الهملان,2.0,الله لا يجيب الزعل راشد الماجد الله لا يجيب الزعل بينك وبينــــــــي,Saudi_Arabia,Gulf
