,prompt,language,source
28,"اكتب قصة بتبدأ بالسطر دا: ""وأن آية الحسن الأسن""",Sudanese Arabic,HABIBI
29,"صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي: ""عيونو السوداء كحيلة .. والبسمة ف شفاهو جميلة .. لو توفي بي وعدك لينا ..""",Sudanese Arabic,HABIBI
30,"صيغ سؤال امتحان، في شكل مقال، حسب الجملة: ""ياربي طاريني في بالو ..""",Sudanese Arabic,HABIBI
31,"""ما شوفنا في طول الزمن"" عيد كتابة الجملة عشان تكون مناسبة اكتر للناس",Sudanese Arabic,HABIBI
32,"اكتب قصة بتبدأ بالسطر دا: ""قاسية يا دنيا وظالمة يا دنيا""",Sudanese Arabic,HABIBI
33,"""لما معاها نسرح ونتوه في الغناوي ونداعب خيانا مشوار الحكاوي نتلاقتا امنانتا ونقول اغنيانتا في اجمل عيون"" صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي",Sudanese Arabic,HABIBI
34,"عيد كتابة ""انا الاخترت فيك هجران المحال"" عشان تكون مناسبة اكتر للناس",Sudanese Arabic,HABIBI
35,"""العذاب ضقنا والشقا وعشنا"" صيغ دا بكلامك الخاص، و حافظ على المعنى الاصلي",Sudanese Arabic,HABIBI
36,"صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي: ""زي حسنك مايعبرن""",Sudanese Arabic,HABIBI
37,"صيغ سؤال امتحان، في شكل مقال، حسب ""بروق في بروق يتقسمن""",Sudanese Arabic,HABIBI
38,"""غير ما اشعر اميل واريد"" اكتب قصة بتبدأ بالسطر دا",Sudanese Arabic,HABIBI
39,"""أسأل العنبة الرامية فوق بيتنا"" كمل المقطع دا كقصة",Sudanese Arabic,HABIBI
40,"رد على موضوع ببدأ بـ""شوفنا ملاك لابس بدن""",Sudanese Arabic,HABIBI
41,"صيغ دا بكلامك الخاص، و حافظ على المعنى الاصلي: ""موال برضو غنوه بس من نظره حلوه عاشت في خيانا وفي وجداني سلوي اترسمت سنين وفي قليبنا الحنين وذدات شجون""",Sudanese Arabic,HABIBI
42,"""ختى في قلبه شتلة الذكرى"" صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي",Sudanese Arabic,HABIBI
43,"ما هو الجمهور المناسب للجملة من النوع دا؟ ""قلنا الصبر قاسي والمحبة قدر"" برر اجابتك",Sudanese Arabic,HABIBI
44,"""طبقات الجو يتأرجحن"" صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي",Sudanese Arabic,HABIBI
45,"الدلالات  الحاجة دي شنو لو في زول قالها لك؟: ""لعيونها الأعين جسن""",Sudanese Arabic,HABIBI
46,"صيغ دا بكلامك الخاص، و حافظ على المعنى الاصلي: ""لية جلابية بيضة مكوية حبيبى يسحروك لية حبيبى لى اللة خليتك واوعك تنسا""",Sudanese Arabic,HABIBI
47,"""كان مغالطنا ما مصدقنا"" اكتب قصة بتبدأ بالسطر دا",Sudanese Arabic,HABIBI
48,"جاوب على الموضوع: ""وتائه ما عليك ولمين اشتكيك""",Sudanese Arabic,HABIBI
49,"""الزمن غدار ظلمه ما بندار"" صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي",Sudanese Arabic,HABIBI
50,"صيغ سؤال امتحان، في شكل مقال، حسب الجملة: ""أنت نرجس من الوسن""",Sudanese Arabic,HABIBI
51,"""انسان لكن مفرداً"" صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي",Sudanese Arabic,HABIBI
52,"صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي: ""يا ورد الجناين يا النوارو باين""",Sudanese Arabic,HABIBI
53,"""والانفس يتهيجن"" كمل المقطع دا كقصة",Sudanese Arabic,HABIBI
54,"صيغ ""محاسن بالحسن إزدرن"" بكلامك الخاص، و حافظ على المعنى الاصلي",Sudanese Arabic,HABIBI
55,"الدلالات  ""كانت آمالنا نحيا في عشة"" شنو لو في زول قالها لك؟",Sudanese Arabic,HABIBI
56,"جاوب على الموضوع: ""شفنا الدنيا حلوه في رموشه وسرحنا صابحنا الاماني واتجدد فرحنا الحنيه هلت وفي دنيانا طلت بامر العيون""",Sudanese Arabic,HABIBI
57,"""يا حليك يا اسمر ابيت لعيونى تظهر"" جاوب على الموضوع",Sudanese Arabic,HABIBI
58,"صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي: ""منسوجه زي احرف اريحك""",Sudanese Arabic,HABIBI
59,"""ومن وزنك هن يقصرن"" جاوب على الموضوع",Sudanese Arabic,HABIBI
60,"""سواك بدري في داخل كمن"" ما هو الجمهور المناسب للجملة من النوع دا؟ برر اجابتك",Sudanese Arabic,HABIBI
61,"""الانوار يتزاحمن"" صيغ دا بكلامك الخاص، و حافظ على المعنى الاصلي",Sudanese Arabic,HABIBI
62,"جاوب على الموضوع: ""يالجبرة المازجة العجن""",Sudanese Arabic,HABIBI
63,"""رحت خليتنا تاني ما جيتنا"" صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي",Sudanese Arabic,HABIBI
64,"صيغ ""كواكب النور البلصفن"" بكلامك الخاص، و حافظ على المعنى الاصلي",Sudanese Arabic,HABIBI
65,"رد على موضوع ببدأ بـ""مانعنى الوصال مانعنى الوصال""",Sudanese Arabic,HABIBI
66,"صيغ ""لما القطار صفر شالو دموعي من عيني سالو"" بكلامك الخاص، و حافظ على المعنى الاصلي",Sudanese Arabic,HABIBI
67,"صيغ ""ومن فاهك يتقسمن"" بكلامك الخاص، و حافظ على المعنى الاصلي",Sudanese Arabic,HABIBI
68,"الدلالات  الحاجة دي شنو لو في زول قالها لك؟: ""الوصيا حبيبى يسحروك لية جلابية بيضة مكوية حبيبى سلامتك امانة من قلبى""",Sudanese Arabic,HABIBI
69,"الدلالات  ""اذا النسمات بيك عرجن"" شنو لو في زول قالها لك؟",Sudanese Arabic,HABIBI
70,"الدلالات  ""حاز النور حاز اللدن"" شنو لو في زول قالها لك؟",Sudanese Arabic,HABIBI
71,"صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي: ""يا حليلك يا اسمر ابيت لعيونى تظهر""",Sudanese Arabic,HABIBI
72,"""وهيبة اسد في عيون شدن"" الدلالات  الحاجة دي شنو لو في زول قالها لك؟",Sudanese Arabic,HABIBI
73,"صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي: ""وجسمك بالطيب أنعجن""",Sudanese Arabic,HABIBI
74,"""بصفاتك ما أتوصفن"" صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي",Sudanese Arabic,HABIBI
75,"صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي: ""ياربي طاريني في بالو ..""",Sudanese Arabic,HABIBI
76,"""وحنن رفعتك فى اسما مكانا المكانا المكانا يلى حبك اصر علية حبيبى يسحراك"" جاوب على الموضوع",Sudanese Arabic,HABIBI
77,"""في خدودك اخدن امن"" صيغ سؤال امتحان، في شكل مقال، حسب الجملة",Sudanese Arabic,HABIBI
78,"""ياالدرة الماليك تمن"" صيغ دا بكلامك الخاص، و حافظ على المعنى الاصلي",Sudanese Arabic,HABIBI
79,"""جبينك زي فلق الدجن"" جاوب على الموضوع",Sudanese Arabic,HABIBI
80,"""وفيكي تهتا انا برضي تهتا"" الدلالات  الحاجة دي شنو لو في زول قالها لك؟",Sudanese Arabic,HABIBI
81,"اكتب قصة بتبدأ بالسطر دا: ""الخطوط الراسمه في صفحت جبينك""",Sudanese Arabic,HABIBI
82,"رد على موضوع ببدأ بـ""قلنا نتصبر لا لا ما بنقدر""",Sudanese Arabic,HABIBI
83,"الدلالات  الحاجة دي شنو لو في زول قالها لك؟: ""ابيت لى ما اعاين حرمت الحلال ،الحلال""",Sudanese Arabic,HABIBI
84,"رد على موضوع ببدأ بـ""أنا ما نسيتو ودعت الحبيب وبكيت ..""",Sudanese Arabic,HABIBI
85,"""غصنه مهفهف أملداً"" صيغ سؤال امتحان، في شكل مقال، حسب الجملة",Sudanese Arabic,HABIBI
86,"""لما القطار صفر شالو .. دموعي من عيني سالو"" صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي",Sudanese Arabic,HABIBI
87,"رد على موضوع ببدأ بـ""أسأل العنية الرامية فوق بيتنا""",Sudanese Arabic,HABIBI
88,"""في ذاك الزي الحسن"" اكتب قصة بتبدأ بالسطر دا",Sudanese Arabic,HABIBI
89,"صيغ سؤال امتحان، في شكل مقال، حسب ""جلابية بيضة مكوية حبيبى يسحروك لية 2 حبيبى اديتك امانة من قلبى وروحى""",Sudanese Arabic,HABIBI
90,"""جنوبيه اه جنوبيه"" كمل المقطع دا كقصة",Sudanese Arabic,HABIBI
91,"الدلالات  ""يا حليلك يا اسمر ابيت لعيونى تظهر"" شنو لو في زول قالها لك؟",Sudanese Arabic,HABIBI
92,"""حني يا دنيا واقبلي الأعذار"" كمل المقطع دا كقصة",Sudanese Arabic,HABIBI
