,prompt,language,source
14,"""عبد القادر يا بو علم ضاق الحال علي"" اكتب ريبونس تكون فيهاهاد الفراز هي الصح",Algerian Arabic,HABIBI
15,"""دي دي دي ديوا هالزين ديوا"" واش من لديونس يوالمها هاد النوع تاع لي فراز. بروفي لا ريبونس تاعك",Algerian Arabic,HABIBI
16,"""ادي ادي واه، ادي ادي، ادي ادي ادي هالزين ادي ايييه"" عاود اكتبها باش تكون بلو ابروبري للغاشي",Algerian Arabic,HABIBI
17,"عاود اكتب هاد الفراز باش تكون بلو ابروبري: ""تركوا دينهم و تبعوا الكاس""",Algerian Arabic,HABIBI
18,"""دي دي دي يا زين ديوا"" اكتب ريبونس تكون فيهاهاد الفراز هي الصح",Algerian Arabic,HABIBI
19,"""ادي ادي واه، ادي ادي، ادي ادي ادي هالزين ادي ايييه"" خرج كيستيون تاع اكزامان من هاد الفراز",Algerian Arabic,HABIBI
20,"اكتب ريبونس تكون فيهاهاد الفراز هي الصح: ""كان زينها زين الودادي""",Algerian Arabic,HABIBI
21,"واش هوما لي امبليكاسيون تاع هادي لوكان قالهالك كاش واحد: ""لا زهر لا ميمون""",Algerian Arabic,HABIBI
22,"خرج كيستيون تاع اكزامان من هاد الفراز ""ماقولت هان عليك امغمضة في حيرة""",Algerian Arabic,HABIBI
23,"اكتب حكاية تبدا بهاد لا لاني: ""عاهدتني وصدقت لا تبدل بخلافي""",Algerian Arabic,HABIBI
24,"خرج كيستيون تاع اكزامان من ""يلعن بو زين دي دي""",Algerian Arabic,HABIBI
25,"اكتب ريبونس تكون فيهاهاد الفراز هي الصح: ""ادي ادي، ادي ادي، ادي ادي، ادي ادي الزين ادي واه""",Algerian Arabic,HABIBI
26,"""و انت راجل قائم"" ريبوندي علا هاد سوجي",Algerian Arabic,HABIBI
27,"""ولا حرام تخون قاصرة وصغيرة"" واش هوما لي امبليكاسيون تاع هادي لوكان قالهالك كاش واحد؟",Algerian Arabic,HABIBI
28,"واش هوما لي امبليكاسيون تاع ""رفد احطه آ مول التاكسي"" لوكان قالهالك كاش واحد؟",Algerian Arabic,HABIBI
29,"خرج كيستيون تاع اكزامان من ""ما نديرك بعيدة ما نبكي عليك""",Algerian Arabic,HABIBI
30,"""ياللي ماشي ليها غادي"" اكتب حكاية تبدا بهاد لا لاني",Algerian Arabic,HABIBI
31,"""سلمت ليك الروح ومغمضة عينيا"" واش من لديونس يوالمها هاد النوع تاع لي فراز. بروفي لا ريبونس تاعك",Algerian Arabic,HABIBI
32,"""و اشفيني عبد الله سلطان الا عالي اه"" كما هاد الباساج حكاية",Algerian Arabic,HABIBI
33,"""منيتني بالسعد والعشرة ومعيشة هنية"" واش من لديونس يوالمها هاد النوع تاع لي فراز. بروفي لا ريبونس تاعك",Algerian Arabic,HABIBI
34,"""عمري ماشكيت فيك يا قليل النية"" خرج كيستيون تاع اكزامان من هاد الفراز",Algerian Arabic,HABIBI
35,"ريبوندي علا سوجي يبدا ب""اااه خليتني في حيرة يانا العشرة طويله""",Algerian Arabic,HABIBI
36,"""يلعن بو الزين دي دي دي زين ديوا"" واش هوما لي امبليكاسيون تاع هادي لوكان قالهالك كاش واحد؟",Algerian Arabic,HABIBI
37,"عاود اكتب هاد الفراز باش تكون بلو ابروبري: ""و بكي على بو الزهر""",Algerian Arabic,HABIBI
38,"واش من لديونس يوالمها هاد النوع تاع لي فراز: ""لا زهر لا ميمون بناقص بو الزين"" بروفي لا ريبونس تاعك",Algerian Arabic,HABIBI
39,"""عديت معاهم صغري"" قول هاد الفراز بكلمات وحدوخرين، و غاردي نفس المعنى",Algerian Arabic,HABIBI
40,"خرج كيستيون تاع اكزامان من ""القصبة و القلال يصادي""",Algerian Arabic,HABIBI
41,"عاود اكتب ""فقت من نوم كان غي عوام"" باش تكون بلو ابروبري",Algerian Arabic,HABIBI
42,"اكتب ريبونس تكون فيهاهاد الفراز هي الصح: ""ما نديرك بعيدة ما نبكي عليك، ما نديرك بعيدة ما نسقسي عليك""",Algerian Arabic,HABIBI
43,"واش هوما لي امبليكاسيون تاع هادي لوكان قالهالك كاش واحد: ""ادي ادي، ادي ادي، ادي ادي، ادي ادي الزين ادي واه""",Algerian Arabic,HABIBI
44,"ريبوندي علا هاد سوجي: ""درت المليولة على من دارقة""",Algerian Arabic,HABIBI
45,"واش من لديونس يوالمها هاد النوع تاع لي فراز: ""ما احلى سهريات بلادي"" بروفي لا ريبونس تاعك",Algerian Arabic,HABIBI
46,"خرج كيستيون تاع اكزامان من هاد الفراز ""انا كالواني واه اروح داوي لي حالي""",Algerian Arabic,HABIBI
47,"ريبوندي علا سوجي يبدا ب""لا زهر لا ميمون لا عرقوب زين، لا زهر لا ميمون لا قسم زين""",Algerian Arabic,HABIBI
48,"قول ""لهم فني طول عمري"" بكلمات وحدوخرين، و غاردي نفس المعنى",Algerian Arabic,HABIBI
49,"""وليت نبكي و نادي"" اكتب حكاية تبدا بهاد لا لاني",Algerian Arabic,HABIBI
50,"اكتب ريبونس تكون فيهاهاد الفراز هي الصح: ""انا بحر عليّ و انتي لا، ما نديرك بعيدة ما نبكي عليك""",Algerian Arabic,HABIBI
51,"""لا زهر لا ميمون يلعن بو الزين"" كما هاد الباساج حكاية",Algerian Arabic,HABIBI
52,"اكتب حكاية تبدا بهاد لا لاني: ""ادي ادي، ادي ادي، ادي ادي، ادي ادي الزين ادي واه""",Algerian Arabic,HABIBI
53,"قول هاد الفراز بكلمات وحدوخرين، و غاردي نفس المعنى: ""يا خسارة de la falla ولسان غدار""",Algerian Arabic,HABIBI
54,"اكتب ريبونس تكون فيهاهاد الفراز هي الصح: ""خدمك ذي رمزية""",Algerian Arabic,HABIBI
55,"اكتب ريبونس تكون فيهاهاد الفراز هي الصح: ""يا سيدي بو مدين وانا في ارضك نتأمن""",Algerian Arabic,HABIBI
56,"""قعدوا في الغربة حيارى"" واش هوما لي امبليكاسيون تاع هادي لوكان قالهالك كاش واحد؟",Algerian Arabic,HABIBI
57,"عاود اكتب ""ادي ادي واه، ادي ادي، ادي ادي ادي هالزين ادي ايييه"" باش تكون بلو ابروبري",Algerian Arabic,HABIBI
58,"واش هوما لي امبليكاسيون تاع هادي لوكان قالهالك كاش واحد: ""يكفينا من الكاس و المايدة""",Algerian Arabic,HABIBI
59,"""ادي ادي، ادي ادي، ادي ادي، ادي ادي الزين ادي واه"" اكتب ريبونس تكون فيهاهاد الفراز هي الصح",Algerian Arabic,HABIBI
60,"""سبحانه من نور في القلوب ابصار"" اكتب ريبونس تكون فيهاهاد الفراز هي الصح",Algerian Arabic,HABIBI
61,"ريبوندي علا هاد سوجي: ""يا سيدي الهواري سلطان غالي""",Algerian Arabic,HABIBI
62,"""واليوم ظهر ليا الصح واكتشفوا الاسرار"" عاود اكتبها باش تكون بلو ابروبري للغاشي",Algerian Arabic,HABIBI
63,"""ولاد المدينة و سيدي الهواري"" اكتب حكاية تبدا بهاد لا لاني",Algerian Arabic,HABIBI
64,"""سيدي عبد الرحمن داوي داوي داوي"" اكتب ريبونس تكون فيهاهاد الفراز هي الصح",Algerian Arabic,HABIBI
65,"عاود اكتب ""لا زهر لا ميمون لا عرقوب زين"" باش تكون بلو ابروبري",Algerian Arabic,HABIBI
66,"""هجروا منك ناس شطارة"" واش من لديونس يوالمها هاد النوع تاع لي فراز. بروفي لا ريبونس تاعك",Algerian Arabic,HABIBI
67,"ريبوندي علا سوجي يبدا ب""يا فرحي على ولاد الحمري""",Algerian Arabic,HABIBI
68,"واش هوما لي امبليكاسيون تاع ""راها عشرة بلا فايدة"" لوكان قالهالك كاش واحد؟",Algerian Arabic,HABIBI
69,"""غير معاك عرفت العسل يا مرار يامرار"" خرج كيستيون تاع اكزامان من هاد الفراز",Algerian Arabic,HABIBI
70,"اكتب ريبونس تكون فيهاهاد الفراز هي الصح: ""هذا حلم صدقت عيشت بيه غير ايام""",Algerian Arabic,HABIBI
71,"""يا سيدي بو مدين وانا في ارضك نتأمن"" عاود اكتبها باش تكون بلو ابروبري للغاشي",Algerian Arabic,HABIBI
72,"""داوي حالي يا بو علم سيدي ارؤف علي"" اكتب ريبونس تكون فيهاهاد الفراز هي الصح",Algerian Arabic,HABIBI
73,"""و الغربة صعيبة و غدارة"" قول هاد الفراز بكلمات وحدوخرين، و غاردي نفس المعنى",Algerian Arabic,HABIBI
74,"""دي ديوا ديوا دي دي ها زين دي دي دي"" واش هوما لي امبليكاسيون تاع هادي لوكان قالهالك كاش واحد؟",Algerian Arabic,HABIBI
75,"واش من لديونس يوالمها هاد النوع تاع لي فراز: ""لا زهر لا ميمون"" بروفي لا ريبونس تاعك",Algerian Arabic,HABIBI
76,"""لا زهر لا ميمون لا عرقوب زين"" قول هاد الفراز بكلمات وحدوخرين، و غاردي نفس المعنى",Algerian Arabic,HABIBI
77,"""قيس الشبكة في البحر وابكي على الزهر"" عاود اكتبها باش تكون بلو ابروبري للغاشي",Algerian Arabic,HABIBI
78,"عاود اكتب ""يمهل ولا يهمل فالظلام بصيرة"" باش تكون بلو ابروبري",Algerian Arabic,HABIBI
79,"""وهران وهران رحتي خسارة"" قول هاد الفراز بكلمات وحدوخرين، و غاردي نفس المعنى",Algerian Arabic,HABIBI
80,"""كان كلام حلو حر صافي"" عاود اكتبها باش تكون بلو ابروبري للغاشي",Algerian Arabic,HABIBI
81,"واش هوما لي امبليكاسيون تاع هادي لوكان قالهالك كاش واحد: ""ادي ادي واه، ادي ادي، ادي ادي ادي هالزين ادي ايييه""",Algerian Arabic,HABIBI
82,"اكتب ريبونس تكون فيهاهاد الفراز هي الصح: ""عمري ما ننسى بلادي""",Algerian Arabic,HABIBI
83,"خرج كيستيون تاع اكزامان من ""بالهنا حلمت وغرقت فالمنام""",Algerian Arabic,HABIBI
84,"""ما نديرك بعيدة ما نصقصي عليك"" اكتب حكاية تبدا بهاد لا لاني",Algerian Arabic,HABIBI
85,"عاود اكتب هاد الفراز باش تكون بلو ابروبري: ""درنا الملقى في الجبال الغامقة، درنا الملقى عند السوسي جارها""",Algerian Arabic,HABIBI
86,"واش هوما لي امبليكاسيون تاع هادي لوكان قالهالك كاش واحد: ""لا بعدوك اعالي الجبال الغامقة، درنا الملقى في الجبال الغامقة""",Algerian Arabic,HABIBI
