,prompt,language,source
26,"""متى عينيك ألاقيها"" اكتبلي قصة تبتدي بهذي الجملة",Kuwaiti Arabic,HABIBI
27,"شنو تأثير هذا إذا أحد قاله لك؟: ""حرام حرام""",Kuwaiti Arabic,HABIBI
28,"عيد كتابة هالجملة بحيث تكون مناسبة لأغلب الناس: ""غيابه طال""",Kuwaiti Arabic,HABIBI
29,"""محتاج هواا"" شنو تأثير هذا إذا أحد قاله لك؟",Kuwaiti Arabic,HABIBI
30,"""مستحيل حب ثاني يسكن قلبي وانت بعيـــــــــد"" اخذ هل مقطع واكتب منه قصة",Kuwaiti Arabic,HABIBI
31,"""وقت مضى"" اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على هالجملة",Kuwaiti Arabic,HABIBI
32,"""هب السعد هبايب الرياحي"" اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على هالجملة",Kuwaiti Arabic,HABIBI
33,"""نسى كلشي وماسال"" عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي",Kuwaiti Arabic,HABIBI
34,"اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على هالجملة: ""اتبسم واقول الله ياكيف حبك مذوبني""",Kuwaiti Arabic,HABIBI
35,"""اسمك يا غالي ما غيره فـ بالي مهما يصير حبيبـــي والله"" هذي الجملة موجهة لأي نوع من الجمهور؟ وضّح إجابتك",Kuwaiti Arabic,HABIBI
36,"عيد كتابة هذا باسلوبك الخاص،  لكن حافظ على المعنى الأصلي: ""ببقى أنا ببقى معاك أبقى أنا وبلياك""",Kuwaiti Arabic,HABIBI
37,"""القاه انا من وين"" اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على هالجملة",Kuwaiti Arabic,HABIBI
38,"عيد كتابة ""ولا طارت في السما أي طير"" باسلوبك الخاص،  لكن حافظ على المعنى الأصلي",Kuwaiti Arabic,HABIBI
39,"عيد كتابة ""يومك قريب من عيوني واشوفك"" باسلوبك الخاص،  لكن حافظ على المعنى الأصلي",Kuwaiti Arabic,HABIBI
40,"""حرام حرام"" اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على هالجملة",Kuwaiti Arabic,HABIBI
41,"عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي: ""قلبي ول ادموع العين""",Kuwaiti Arabic,HABIBI
42,"اكتبلي قصة تبتدي بهذي الجملة: ""ياللي الخيانة واضحة وباينه في عيونك""",Kuwaiti Arabic,HABIBI
43,"رد على موضوع وابتدي بـ""يا شاريه العباد والصلاحي""",Kuwaiti Arabic,HABIBI
44,"شنو تأثير هذا إذا أحد قاله لك؟: ""هلت القمرة علينا من شمال ومن جنوب""",Kuwaiti Arabic,HABIBI
45,"عيد كتابة ""ترى قربي أنا أسعالا"" بحيث تكون مناسبة لأغلب الناس",Kuwaiti Arabic,HABIBI
46,"""حيل تعبني مشتاق"" رد على هالنقاش",Kuwaiti Arabic,HABIBI
47,"""او ليت قلبك ما نساه معروفك"" هذي الجملة موجهة لأي نوع من الجمهور؟ وضّح إجابتك",Kuwaiti Arabic,HABIBI
48,"عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي: ""والوله بلقلب حراق""",Kuwaiti Arabic,HABIBI
49,"""قولوله قلبي اشتاق"" عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي",Kuwaiti Arabic,HABIBI
50,"""واليوم تشكي لي خوافي ظروفك"" عيد كتابة هذا باسلوبك الخاص،  لكن حافظ على المعنى الأصلي",Kuwaiti Arabic,HABIBI
51,"""متى هالغربة تنهيها"" هذي الجملة موجهة لأي نوع من الجمهور؟ وضّح إجابتك",Kuwaiti Arabic,HABIBI
52,"عيد كتابة هذا باسلوبك الخاص،  لكن حافظ على المعنى الأصلي: ""مشتاق مشتاق""",Kuwaiti Arabic,HABIBI
53,"""كان لي حياتي بالهنا طعم ثاني"" عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي",Kuwaiti Arabic,HABIBI
54,"عيد كتابة ""ارجع وعاهدني على الحب ثاني"" باسلوبك الخاص،  لكن حافظ على المعنى الأصلي",Kuwaiti Arabic,HABIBI
55,"اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على هالجملة: ""يإللي مع الأيام غيرت طبعك ولونك""",Kuwaiti Arabic,HABIBI
56,"شنو تأثير هذا إذا أحد قاله لك؟: ""كافي فراق قولوله بسه""",Kuwaiti Arabic,HABIBI
57,"رد على موضوع وابتدي بـ""غلا حبك دفا قربك هدية رب منعمني""",Kuwaiti Arabic,HABIBI
58,"اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على ""الله على وقت مضى من زماني""",Kuwaiti Arabic,HABIBI
59,"""ابعدت عني بالغلى والاماني"" هذي الجملة موجهة لأي نوع من الجمهور؟ وضّح إجابتك",Kuwaiti Arabic,HABIBI
60,"""عساك بخير"" عيد كتابة هالجملة بحيث تكون مناسبة لأغلب الناس",Kuwaiti Arabic,HABIBI
61,"عيد كتابة هذا باسلوبك الخاص،  لكن حافظ على المعنى الأصلي: ""تعبني وخلاني""",Kuwaiti Arabic,HABIBI
62,"""بالحالتين إن رحت وإلا إن جيتني حياك"" اخذ هل مقطع واكتب منه قصة",Kuwaiti Arabic,HABIBI
63,"رد على موضوع وابتدي بـ""تصدق أصلاً إنت تستحق من يخونك""",Kuwaiti Arabic,HABIBI
64,"عيد كتابة ""شهبت قرتها بهوى السهيل البازج"" بحيث تكون مناسبة لأغلب الناس",Kuwaiti Arabic,HABIBI
65,"اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على هالجملة: ""لوبعيد قلبي بحسه""",Kuwaiti Arabic,HABIBI
66,"اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على ""الله على وقت مضى من زماني""",Kuwaiti Arabic,HABIBI
67,"اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على هالجملة: ""آسف آسف""",Kuwaiti Arabic,HABIBI
68,"""ابشكرك على حبك تراك بالحيل مدللني"" عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي",Kuwaiti Arabic,HABIBI
69,"""عيني ماقامت تنام"" اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على هالجملة",Kuwaiti Arabic,HABIBI
70,"""يا احلى طاري مقدر اداري قلبي الشوق فضحنـــــي والله"" عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي",Kuwaiti Arabic,HABIBI
71,"""حد يحس"" اخذ هل مقطع واكتب منه قصة",Kuwaiti Arabic,HABIBI
72,"""كنك قريب وكن عيني تحوفك"" عيد كتابة هذا باسلوبك الخاص،  لكن حافظ على المعنى الأصلي",Kuwaiti Arabic,HABIBI
73,"اكتبلي قصة تبتدي بهذي الجملة: ""مافي مافي""",Kuwaiti Arabic,HABIBI
74,"""كافي فراق قولوله بسه"" اخذ هل مقطع واكتب منه قصة",Kuwaiti Arabic,HABIBI
75,"عيد كتابة ""آآه معك حياتي غير"" باسلوبك الخاص،  لكن حافظ على المعنى الأصلي",Kuwaiti Arabic,HABIBI
76,"""مافي مافي"" اكتبلي قصة تبتدي بهذي الجملة",Kuwaiti Arabic,HABIBI
77,"شنو تأثير ""قطن يديد الما هوى الميزاني"" إذا أحد قاله لك؟",Kuwaiti Arabic,HABIBI
78,"عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي: ""عيني ماقامت تنام""",Kuwaiti Arabic,HABIBI
79,"اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على ""ياما ناس فرقونا ووعدتك ببقى يمك مهما صار""",Kuwaiti Arabic,HABIBI
80,"""غيابه طال"" هذي الجملة موجهة لأي نوع من الجمهور؟ وضّح إجابتك",Kuwaiti Arabic,HABIBI
81,"اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على هالجملة: ""في بعد ما أشوف الخير""",Kuwaiti Arabic,HABIBI
82,"شنو تأثير هذا إذا أحد قاله لك؟: ""اسرفت في هجري وانا منك اعاني""",Kuwaiti Arabic,HABIBI
83,"""كان لي حياتي بالهنا طعم ثاني"" رد على هالنقاش",Kuwaiti Arabic,HABIBI
84,"عيد كتابة هذا باسلوبك الخاص،  لكن حافظ على المعنى الأصلي: ""اتهل اتهل كل دمعه باسمه تهل""",Kuwaiti Arabic,HABIBI
85,"هذي الجملة موجهة لأي نوع من الجمهور؟ ""يبوه بلحال"" وضّح إجابتك",Kuwaiti Arabic,HABIBI
86,"""فاقده وفاقد احساسه"" اكتبلي قصة تبتدي بهذي الجملة",Kuwaiti Arabic,HABIBI
87,"""من وين من وين"" عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي",Kuwaiti Arabic,HABIBI
88,"""القاه انا من وين"" اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على هالجملة",Kuwaiti Arabic,HABIBI
89,"""أبتغير بكون أهدى وإذا أخطيت تحملني"" عيد كتابة هذا باسلوبك الخاص،  لكن حافظ على المعنى الأصلي",Kuwaiti Arabic,HABIBI
90,"""حيل تعبني مشتاق"" عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي",Kuwaiti Arabic,HABIBI
91,"اكتبلي قصة تبتدي بهذي الجملة: ""بدونك حالتي حالة""",Kuwaiti Arabic,HABIBI
92,"عطيني رد بإسلوب مبدع يتضمن هالجملة كعنصر أساسي: ""كافي كافي كافي""",Kuwaiti Arabic,HABIBI
93,"""المرجله إني رغم حبي لك قررت أنساك"" عيد كتابة هالجملة بحيث تكون مناسبة لأغلب الناس",Kuwaiti Arabic,HABIBI
94,"""سهرني وبكاني"" اخذ هل مقطع واكتب منه قصة",Kuwaiti Arabic,HABIBI
95,"""محبتنا تعيش فيني تعيش لو حتى تذبحني"" اخذ هل مقطع واكتب منه قصة",Kuwaiti Arabic,HABIBI
96,"رد على موضوع وابتدي بـ""من وين من وين""",Kuwaiti Arabic,HABIBI
97,"عيد كتابة ""ودان واليل دان دانه ودانه حبيبي"" بحيث تكون مناسبة لأغلب الناس",Kuwaiti Arabic,HABIBI
98,"""سوالفنا وغناوينا"" عيد كتابة هالجملة بحيث تكون مناسبة لأغلب الناس",Kuwaiti Arabic,HABIBI
99,"اكتب سؤال ممكن ينحط بامتحان، بطريقة نصية، بناءً على هالجملة: ""كان لي حياتي بالهنا طعم ثاني""",Kuwaiti Arabic,HABIBI
