Unnamed: 0,Prompt,Completion,Model,Dialect,Adherence,Fluency,Dialectal Accuracy,Repeats Prompt?,TVD,Copy
10,"ايه نوع الناس اللي الجملة دي معموله عشانه؟ ""العيال بيتحطوا في رعاية البلد لأنهم بيواجهوا حاجات زي الإهمال والضرر وحتى الابتزاز."" اشرح اجابتك",الجملة دي معمولة عشان الناس اللي بيشتغلوا في مجال حماية الأطفال ورعايتهم، زي الأخصائيين الاجتماعيين، العاملين في منظمات حقوق الطفل، والمسؤولين الحكوميين اللي بيهتموا برعاية الأطفال. الجملة بتوضح الأسباب اللي ممكن تخلي الأطفال يحتاجوا لرعاية خاصة من الدولة، زي الإهمال، الضرر، والابتزاز. الهدف هو توعية الناس بأهمية حماية الأطفال وتوفير بيئة آمنة ليهم,gpt-4o,egy,3,4,4,,0.4915066154542842,False
11,"""ـــــــــ"" عايز رد جذاب تكون الجملة دي فيه هي الأساس.","
موضوع: ""ـــــــــ"" عايز رد جذاب تكون الجملة دي فيه هي الأساس. الأربعاء 10 نوفمبر 2010, 10:15 pm
""ـــــــــ"" عايز رد جذاب تكون الجملة دي فيه هي الأساس.
""ـــــــــ""
عايز رد جذاب تكون الجملة دي فيه هي الأساس.
موضوع: رد:",command_r+_base,egy,1,2,4,Yes,0.9355828915862006,True
12,"هيأثر عليك ازاي ""ديما جنبي ثانية بثانية"" لو حد قلك كدا؟",؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟,command_r+_base,egy,1,1,1,,0.016433020435763224,False
13,"عيد كتابة الجملة دي عشان تبقى مناسبة لجمهور أوسع: ""إعلان الاستقلال اتكتب على ظهره عبارة ""إعلان الاستقلال الأصلي في أربعة يوليو 1776"". وبيظهر النص في أسفل المستند وهو مقلوب.""","تمت صياغة إعلان الاستقلال بشكل فريد، حيث كُتب على ظهره النص التالي: ""إعلان الاستقلال، الرابع من يوليو 1776"". ويظهر هذا النص في أسفل الوثيقة، ولكن بشكل مقلوب.",command_r+,egy,3,5,1,,0.0,False
14,"""عن حبايبنا ازاى تبعدنا"" عايز رد جذاب قايم على الجملة دي.",الحب هو ذلك الشعور الرائع الذي يجمع بين القلوب ويوحد بين الأرواح. عندما نحب، نشعر بأننا قادرون على تخطي أي عقبات أو مسافات تفصل بيننا وبين أحبائنا. ولكن في بعض الأحيان، قد تحدث ظروف ومواقف تجبرنا على الابتعاد عن هؤلاء الأحباء، سواء كان ذلك بسبب المسافات الجغرافية أو الظروف الحياتية أو أي أسباب أخرى,command_r+,egy,3,4,1,,0.0,False
15,"""USER USER اوك انا هستناك تيجي لو مجتش والله انت حر متفقناش ع حاجه اصلا عشان دماغك متوديش وتجيب بس الساعه NUM تيجي سلام"" دا هيأثر عليك ازاي, لو حد قلك كدا؟",إذا حد قال لي كده، ممكن يكون عندي ردود فعل مختلفة بناءً على السياق والعلاقة بيني وبين الشخص ده. ممكن أحس ببعض الإحباط أو الزعل لو كنت متوقع التزام معين من الشخص ده، خصوصًا لو كان الموضوع مهم بالنسبة لي. لكن في نفس الوقت، ممكن أفهم إن الشخص ده مش ملتزم أو مش مهتم بنفس القدر اللي أنا مهتم بيه، وده ممكن يخليني أعيد تقييم العلاقة أو التوقع,gpt-4o,egy,3,4,5,,0.670382110450376,False
16,"""اللي للي اداك عينيه"" عايز رد جذاب تكون الجملة دي فيه هي الأساس.","""اللي للي اداك عينيه، يستاهل منك كل الحب والتقدير، لأن العطاء من القلب بيخلق أجمل العلاقات.""",gpt-4o,egy,3,4,5,,0.4248576509706794,False
17,"""يا مالك يا رزاق"" عايز رد جذاب قايم على الجملة دي.","
موضوع: ""يا مالك يا رزاق"" عايز رد جذاب قايم على الجملة دي.
ردود: 10 | زيارات: 1146
04 / 07 / 2009, 02:31 AM #1
يا جماعة انا عايز رد جذاب قايم على الجملة دي
""يا مالك يا رزاق""
عايز رد جذاب",command_r+_base,egy,1,2,4,Yes,0.9132253374871979,True
18,"""تمام. ممكن تكتب العنوان مرة كمان على الظرف ده؟"" رد على الكلام ده.",أكيد، سأكتب العنوان مرة أخرى على الظرف. من الجيد دائما التأكد من أن العنوان واضح وصحيح لضمان وصول الرسالة أو الطرد إلى وجهته الصحيحة. هل هناك أي شيء آخر يمكنني مساعدتك به؟,command_r+,egy,3,4,1,,2.838969130432767e-06,False
19,"عيد كتابة الجملة دي عشان تبقى مناسبة لجمهور أوسع: ""USER غالبا الصراحه اوعي تجيب من الاكشاك لانهم فعلا اوساخ وبيزودا الحاجه""","
عيد كتابة الجملة دي عشان تبقى مناسبة لجمهور أوسع: ""USER غالبا الصراحه اوعي تجيب من الاكشاك لانهم فعلا اوساخ وبيزودا الحاجه""
عيد كتابة الجملة دي عشان تبقى مناسبة لجمهور أوسع: ""USER غالبا الصراحه اوعي تجيب من الاكشMultiplier لانهم فعلا اوساخ وبيزودا الحاجه""
عيد كتابة",command_r+_base,egy,1,2,4,Yes,0.8411652630502786,True
20,"اكتب قصة بتبدأ بالسطر ده: ""عليا أنا وعلى أعدائي .. مش حسكتلحد مالاقي .. جرح يخلص كل دموعك""","عليا أنا وعلى أعدائي .. مش حسكت لحد مالاقي .. جرح يخلص كل دموعك.

كانت هذه الكلمات تتردد في ذهن سارة وهي تجلس في غرفتها المظلمة، تتأمل في الماضي الذي لم يكن سوى سلسلة من الخيبات والألم. كانت تعلم أن الحياة لم تكن عادلة معها، وأنها كانت دائمًا في مواجهة مع قوى أكبر منها. لكن هذه المرة، كانت مصممة على أن تأخذ حقها",gpt-4o,egy,3,4,1,,0.2684526963131866,False
21,"اكتب سؤال امتحان مقالي مناسب بناءً على ""لكن بسبب موقعها اللي هو ""قريب من المناطق الاستوائية"" بدرجات بسيطة بس شمال الخط الاستوائي، فأنتم محتاجين تتعاملوا مع حاجتين: الحرارة العالية المستمرة والشمس اللافحة (ودا نادر أما تكون السماء صافية).""",في ضوء ما ذكر عن تأثير الموقع الجغرافي لمنطقة ما على مناخها، ناقش التحديات التي يواجهها السكان المحليون في التكيف مع درجات الحرارة المرتفعة وأشعة الشمس الشديدة. اقترح حلولاً عملية يمكن أن تساعد الأفراد والمجتمعات على التغلب على هذه الصعوبات والاستمتاع ببيئة معيشية مريحة ومستدامة.,command_r+,egy,3,4,1,,2.559929663710145e-05,False
22,"عايز رد جذاب تكون الجملة دي فيه هي الأساس: ""انا قررت اعيش ليكى واقولك اه وحشتيني""","""لقد قررت أن أعيش من أجلك، أن أتنفس عشقك، وأن أعترف لكِ بأنني اشتقت إليكِ. نعم، اشتقت إلى ابتسامتك التي تضيء عتمة أيامي، إلى صوتك الذي يملأ حياتي موسيقى وسلاماً، إلى وجودك الذي يجعل كل شيء أجمل وأكثر قيمة. أنتِ يا من سكنتِ قلبي وملأتِ",command_r+,egy,3,4,1,,0.0,False
23,"""فكرة التزلج قديمة قوي - لوحات الكهف بتصور المتزلجين بيرجع تاريخها ل  ٥٠٠٠ سنة قبل الميلاد!"" عايز رد جذاب تكون الجملة دي فيه هي الأساس.","منذ آلاف السنين، وحتى قبل اختراع العجلات، كان الناس قد اكتشفوا متعة الانزلاق على الجليد! هذا ما تكشفه لنا لوحات الكهوف القديمة التي تعود إلى ٥٠٠٠ سنة قبل الميلاد، حيث تصور متزلجين يمارسون هذه الرياضة بمهارة وحماس.

إن فكرة التزلج قديمة قدم الزمن نفسه، فهي تعود إلى عصور",command_r+,egy,2,4,1,,0.0,False
24,"""كيرلي جامد، لو سمحت."" رد على الكلام ده.","بالتأكيد! يبدو أنك تطلب تصفيف شعرك بطريقة ""كيرلي جامد"". سأكون سعيداً بمساعدتك في الحصول على هذه التسريحة.

للحصول على كيرلي جامد، هناك بعض الخطوات التي يمكنك اتباعها:

- اغسل شعرك بشامبو وبلسم مناسبين لنوع شعرك. إذا كان شعرك جافًا أو مجعدًا",command_r+,egy,3,4,1,,0.0201052515134863,False
25,"""USER كنت لسه بقولك URL"" عايز رد جذاب تكون الجملة دي فيه هي الأساس.","""كنت لسه بقولك URL، بس اللي هتلاقيه هناك هيخليك مش عايز تفوت ولا لحظة!""",gpt-4o,egy,3,4,5,,0.9300993989528195,False
26,"""كان في فترة برده غير مستقرة مع تقسيم المقاطعات بين كل أسرة. وكان أشهر هذه الفترات حقبة الممالك التلاتة، اللي فضلت 60 سنة بين أسرة هان وسلالة جين."" عايز رد جذاب قايم على الجملة دي.","بالتأكيد! إليك رد جذاب:

""يا له من تاريخ مثير! حقبة الممالك الثلاث كانت فعلاً فترة مليئة بالتحديات والتحولات. تخيل كيف كانت الحياة في تلك الأيام، حيث كانت الأسر تتنافس على السيطرة وتقسيم المقاطعات. من الرائع أن نرى كيف استطاعت سلالة جين أن تنهي هذه الفترة المضطربة وتوحّد البلاد بعد 60 سنة من الصراع. التاريخ مليء بالدروس والعبر، وهذه",gpt-4o,egy,3,4,1,,0.0,False
27,"""USER الفيديو دا حلو اوي والله URL"" ايه نوع الناس اللي الجملة دي معموله عشانه؟ اشرح اجابتك","هذه الجملة موجهة للأشخاص الذين يتحدثون اللغة العربية العامية، وتحديداً اللهجة المصرية. وهي تعبر عن رأي المتحدث حول فيديو معين، حيث يصفه بأنه ""حلو أوي""، وهي عبارة عامية تعني ""جميل جداً"". ويستخدم المتحدث أيضاً كلمة ""والله"" للتأكيد على مدى إعجابه بالفيديو.

وعادة، يستخدم هذا النوع من العبارات في وسائل التو",command_r+,egy,3,4,1,,0.016498750618999747,False
28,"عيد كتابة ""تسعة وعشرين أغسطس."" عشان تبقى مناسبة لجمهور أوسع.",29 أغسطس,gpt-4o,egy,3,4,4,,0.0001775645513769908,False
29,"عايز رد جذاب تكون الجملة دي فيه هي الأساس: ""وبعد كل ده، القائد هو اللي بيتحمل النجاح والفشل للفريق.""","
الموضوع: عايز رد جذاب تكون الجملة دي فيه هي الأساس: ""وبعد كل ده، القائد هو اللي بيتحمل النجاح والفشل للفريق.""
20/10/2010 12:22 #1
عايز رد جذاب تكون الجملة دي فيه هي الأساس:
""وبعد كل ده، القائد هو اللي بيتحمل النجاح والفشل للفريق.""
2",command_r+_base,egy,1,2,4,Yes,0.8389642708631442,True
30,"رد على الكلام ده: ""السلطة المركزية بتاعة الكنيسة كانت في روما لأكثر من ألف سنة والتركيز ده بتاع القوة والفلوس خلى ناس كثير يتساءلوا اذا كانت العقيدة دي بتلاقي المطلوب.""","
الكنيسة في روما كانت مركزية في الادارة فقط وليس في العقيدة.
فالكنيسة في روما كانت مركزية في الادارة فقط وليس في العقيدة.
فالكنيسة في روما كانت مركزية في الادارة فقط وليس في العقيدة.
فالكنيسة في روما كانت مركزية في الادارة فقط وليس في العقيدة.
فالكنيسة في روما كانت مركزية في ال",command_r+_base,egy,3,1,1,Yes,0.0,False
31,"""USER USER انا الي منتهي بقالي عشر سنين لو روحت هلعب عن كده"" عايز رد جذاب قايم على الجملة دي.","
""USER USER انا الي منتهي بقالي عشر سنين لو روحت هلعب عن كده"" عايز رد جذاب قايم على الجملة دي.
""USER USER انا الي منتهي بقالي عشر سنين لو روحت هلعب عن كده"" عايز رد جذاب قايم على الجملة دي.
""USER USER انا الي منتهي بقالي عشر سنين لو روحت هلعب عن كده""",command_r+_base,egy,1,2,4,Yes,0.979628722122321,True
32,"عيد كتابة الجملة دي عشان تبقى مناسبة لجمهور أوسع: ""ده طازه؟""",هل هذا طازج؟,command_r+,egy,3,5,1,,0.0,False
33,"""خلتني اسهر ولا انام آه من عينيه ونظراته آه من عينيه وحركاته"" دا هيأثر عليك ازاي, لو حد قلك كدا؟",إذا حد قال لي كدا، هحس بمشاعر مختلطة. الكلام ده رومانسي وجميل، وبيعبر عن إعجاب شديد وتأثير قوي للشخص اللي بيتكلم عنه. لو كنت بحب الشخص ده أو عندي مشاعر تجاهه، هحس بالسعادة والفرحة لأن الكلام ده بيعبر عن مشاعر حب وإعجاب. لكن لو مش عندي نفس المشاعر أو مش مهتم بالشخص ده، ممكن أحس بالحرج,gpt-4o,egy,3,5,5,,0.6141395187644818,False
34,"""يسألني الحنين وتحكي ايه محيلتكش غيرها"" دا هيأثر عليك ازاي, لو حد قلك كدا؟","الجملة دي بتعبر عن مشاعر الحنين والشوق لشخص أو لحظات معينة. لو حد قال لي كدا، هيكون عندي مشاعر مختلطة. من ناحية، ممكن أحس بالسعادة لأن الشخص ده بيشارك مشاعره معايا وبيحس بنفس الحنين اللي أنا بحسه. ومن ناحية تانية، ممكن أحس بالحزن أو الشوق للماضي أو للشخص اللي بنحكي عنه.

الجملة دي بتفتح باب للتواصل",gpt-4o,egy,3,4,5,,0.6356115846358179,False
35,"""سرق محفظتي و جري ."" عايز رد جذاب قايم على الجملة دي.","
موضوع: ""سرق محفظتي و جري ."" عايز رد جذاب قايم على الجملة دي. الأحد 20 مارس 2011, 12:12 am
سرق محفظتي و جري
عايز رد جذاب قايم على الجملة دي
موضوع: رد: ""سرق محفظتي و جري ."" عايز رد جذاب قايم على الجملة دي",command_r+_base,egy,1,2,4,Yes,0.8924070664728561,True
36,"دا هيأثر عليك ازاي, لو حد قلك كدا؟ ""USER حبيبي يا حاج بس هدي نفسك و متحرقش دمك""","
موضوع: دا هيأثر عليك ازاي, لو حد قلك كدا؟ ""USER حبيبي يا حاج بس هدي نفسك و متحرقش دمك"" الأربعاء 24 يونيو 2009, 12:14 am
دا هيأثر عليك ازاي, لو حد قلك كدا؟
""USER حبيبي يا حاج بس هدي نفسك و متحرقش دمك""
موضو",command_r+_base,egy,1,2,3,Yes,0.9714046518855284,True
37,"عايز رد جذاب تكون الجملة دي فيه هي الأساس: ""مدينة ماتشو بيتشو فيها تلت مبانٍ رئيسية، هي إنتيهواتانا ومعبد الشمس وغرفة النوافذ الثلاثة.""",تخيل نفسك في مدينة ماتشو بيتشو، حيث تلتقي بثلاثة من أهم المعالم الأثرية: إنتيهواتانا، معبد الشمس، وغرفة النوافذ الثلاثة. هذه المباني ليست مجرد هياكل حجرية، بل هي بوابات إلى أسرار حضارة الإنكا العريقة، حيث كل حجر يروي قصة وكل زاوية تحمل سحرًا خاصًا. هل أنت مستعد لاستكشاف هذا العالم المذهل؟,gpt-4o,egy,3,4,1,,0.005100554446837768,False
38,"اكتب قصة بتبدأ بالسطر ده: ""صدقني بقي ولا أسال بره""","صدقني بقي ولا أسال بره. كانت هذه الكلمات تتردد في أذنيّ كالصدى، وأنا أجلس في زاوية المقهى المظلمة، محاولاً استيعاب ما قاله لي صديقي القديم، كريم. كريم كان دائماً معروفاً بحكاياته الغريبة والمثيرة، لكن هذه المرة كانت الأمور مختلفة.

""إيه اللي حصل؟"" سألته وأنا أحاول أن أبدو هادئاً، رغم أن",gpt-4o,egy,3,4,2,,0.3016271823896375,False
39,"اكتب قصة بتبدأ بالسطر ده: ""USER قول ماثور فرحتك بالايام اللي قبل الاجازه دي زيي السبت والحد تقريبا احلي من فرحتك بالاجازه نفسها""","""USER قول ماثور فرحتك بالايام اللي قبل الاجازه دي زيي السبت والحد تقريبا احلي من فرحتك بالاجازه نفسها""، كانت هذه الكلمات تتردد في ذهن يوسف وهو يجلس في مكتبه الصغير في الشركة. كانت الأيام تمر ببطء، وكلما اقتربت نهاية الأسبوع، زادت حماسته. كان يشعر بأن هناك شيئًا خاصًا في تلك الأيام التي تسبق الإجازة، وكأنها تحمل في طيات",gpt-4o,egy,3,4,1,,0.4693312493533419,False
40,"عيد كتابة ""عندك أي كراسي فاضية للندن؟"" عشان تبقى مناسبة لجمهور أوسع.",هل لديك أي مقاعد شاغرة للسفر إلى لندن؟,gpt-4o,egy,3,5,1,,0.0,False
41,"دا هيأثر عليك ازاي, لو حد قلك كدا؟ ""الطراز القوطي وصل أقصى حد ليه في فترة ما بين القرنين العاشر أو الحداشر إلى القرن الأربعتاشر.""","إن سماع مثل هذا التأكيد حول الطراز القوطي وتطوره عبر القرون سيؤثر علي بالتأكيد، خاصة إذا جاء هذا القول من شخص على دراية بالتاريخ أو الفن المعماري. سيثير هذا التعليق اهتمامي ويدفعني لتعلم المزيد عن الطراز القوطي وفترته الزمنية.

أولاً، سيشجعني هذا القول على استكشاف جماليات الط",command_r+,egy,3,4,1,,0.0,False
42,"""USER بيتهيالي انا عمري ما اذيت حد في حياتي وبيتهيالي برضو عمري ما ضايقت حد للدرجه اللي تخليه يكرهني انا تقريبا اسهل واحد"" عيد صياغة دا بألفاظك بس يكون المعنى الأصلي موجود.","
""USER انا مش عارف ليه الناس بتكرهني انا مش بعمل حاجه وحشه خالص انا بس بحب الناس كلها وبتمنى الخير للكل"" عيد صياغة دا بألفاظك بس يكون المعنى الأصلي موجود.
""USER انا مش عارف ليه الناس بتكرهني انا مش بعمل حاجه وحشه خالص انا بس بحب الناس كلها وبتمنى",command_r+_base,egy,1,1,1,,0.9109004794086495,False
43,"""ده مناسب بالظبط."" عايز رد جذاب قايم على الجملة دي.","
الموضوع: ""ده مناسب بالظبط."" عايز رد جذاب قايم على الجملة دي.
10-05-2010, 01:04 AM #1
""ده مناسب بالظبط.""
عايز رد جذاب قايم على الجملة دي.
10-05-2010, 01:13 AM #2
رد: ""ده مناسب بالظبط",command_r+_base,egy,1,2,3,Yes,0.9432520504608704,True
44,"عيد كتابة ""مش بتاع جواز مش بتاع جواز مش بتاع جواز شكله مش بتاع جواز"" عشان تبقى مناسبة لجمهور أوسع.","
النهاردة عيد ميلاد كتابة ""مش بتاع جواز مش بتاع جواز مش بتاع جواز شكله مش بتاع جواز"" عشان تبقى مناسبة لجمهور أوسع.
الكتابة دي اتكتبت في 2013، وكنت لسة بادي أكتب على الفيسبوك، وكنت لسة بادي أتعلم إزاي أكتب، وكنت لسة بادي",command_r+_base,egy,1,4,5,,0.9725147468213322,False
45,"اكتب قصة بتبدأ بالسطر ده: ""منين اقدر اخد شنطي؟""","""منين اقدر اخد شنطي؟"" سأل سامي وهو يقف في محطة القطار المزدحمة، محاولًا العثور على شخص يمكنه مساعدته. كان قد وصل لتوه إلى المدينة الكبيرة لأول مرة، وحمل معه أحلامه وطموحاته في حقيبة صغيرة.

تقدم نحوه رجل مسن يرتدي زي عامل المحطة، وابتسم بلطف قائلاً: ""الشنط بتاعتك هتلاقيها في قسم الأ",gpt-4o,egy,3,4,1,,0.4770520685660813,False
46,"اكتب سؤال امتحان مقالي مناسب بناءً على ""بينا حاجات بستخسرها وحاجات نفسي تغيرها اولها غيابك عنى""","سؤال امتحان مقالي:

""في ضوء العبارة التالية: 'بينا حاجات بستخسرها وحاجات نفسي تغيرها اولها غيابك عنى'، قم بتحليل مشاعر الكاتب وتفسير تأثير غياب الشخص المذكور على حياته. كيف يمكن أن يؤثر هذا الغياب على رؤية الكاتب للأشياء التي يخسرها والأشياء التي يرغب في تغييرها؟ استخدم أمثلة من الحياة اليومية لدعم تحليلك.""",gpt-4o,egy,3,4,1,,0.06943115735663419,False
47,"""خدعني الحاضر الي تعاش"" كمل الحتة دي في شكل قصة.","في إحدى الليالي الهادئة، جلس يوسف في شرفته المطلة على المدينة، يتأمل الأضواء المتلألئة في الأفق. كان يشعر بثقل الأيام التي مضت، وكأنها تحمل في طياتها عبء الزمن. همس لنفسه: ""خدعني الحاضر الي تعاش""، وكأن الكلمات كانت تعبيرًا عن خيبة أمله في الحياة التي عاشها حتى الآن.

بدأت القصة عندما كان يوسف شابًا ط",gpt-4o,egy,3,4,1,,0.0,False
48,"""USER لا ياصاحبي مع نفسك هه"" اكتب سؤال امتحان مقالي مناسب بناءً على الجملة دي.","سؤال الامتحان المقالي:

""في ضوء فهمك للنص، ناقش مفهوم 'مع نفسك' ودوره في العلاقات الاجتماعية. قدم أمثلة توضيحية وشرحاً تفصيلياً لأهمية التعامل مع المواقف المختلفة بمرونة ووعي.""

هذا السؤال يهدف إلى تقييم فهم الطالب لمعاني النص ومدى قدرته على ربط",command_r+,egy,3,4,1,,0.0,False
49,"""USER بيتهيالي انا عمري ما اذيت حد في حياتي وبيتهيالي برضو عمري ما ضايقت حد للدرجه اللي تخليه يكرهني انا تقريبا اسهل واحد"" عيد صياغة دا بألفاظك بس يكون المعنى الأصلي موجود.","""أعتقد أنني لم أؤذ أحداً في حياتي، ولم أضايق أحداً لدرجة أن يكرهني. أنا على الأرجح أسهل شخص يمكن التعامل معه، ولم أتسبب يوماً في أي أذى أو ضيق لأي شخص. أنا مؤمن بأنني تركت انطباعاً جيداً لدى الجميع، ولم أفعل شيئاً قد يدفع أحدا",command_r+,egy,3,4,1,,0.0,False
50,"""وبصوت حنون ودافى تدعى الرحمن يشفيني"" عيد كتابة الجملة دي عشان تبقى مناسبة لجمهور أوسع.","""وبصوت حنون ودافئ أدعو الله أن يشفيني""",gpt-4o,egy,3,5,1,,0.0005094520368652614,False
51,"""وصلت للاستنتاج ده عشان التعليقات الإيجابية والتشجيعات اللي بعتها لها ستات ورجالة بيشجعوا أن أدوية منع الحمل حاجة طبية ضرورية."" عيد كتابة الجملة دي عشان تبقى مناسبة لجمهور أوسع.","
""وصلت للاستنتاج ده عشان التعليقات الإيجابية والتشجيعات اللي بعتها لها ستات ورجالة بيشجعوا أن أدوية منع الحمل حاجة طبية ضرورية."" عيد كتابة الجملة دي عشان تبقى مناسبة لجمهور أوسع. (ar)
""وصلت للاستنتاج ده عشان التعليقات الإيجابية والتشجيعات اللي بعتها لها ستات ورجالة بيش",command_r+_base,egy,1,2,4,Yes,0.8342033630916319,True
