Unnamed: 0,Prompt,Completion,Model,Dialect,Adequacy,Fluency,Dialectal Accuracy,TVD,Copy
51,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Also blogging ""forces students to become more savvy about the world around them."" The need to feed the interest of the audience inspires students to be clever and interesting (Toto, 2004).
Translation:","كمان التدوين ""بيجبر الطلاب انهم يبقوا اكتر فهمانين عن العالم اللي حواليهم."" الحاجة لتلبية اهتمام الجمهور بتلهم الطلاب انهم يكونوا أذكياء ومثيرين للاهتمام (توتو، 2004).",gpt-4o,egy,3,4,4,0.0692053352205608,False
52,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
The wheel has changed the world in incredible ways. The biggest thing that the wheel has done for us is given us much easier and faster transportation.
Translation:",العجلة غيّرت العالم بطرق مذهلة. أكبر حاجة العجلة عملتها لنا هي إنها وفرت لنا وسيلة نقل أسهل وأسرع بكتير.,gpt-4o,egy,5,5,5,0.0895341277196148,False
53,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
If you visit the Arctic or Antarctic areas in the winter you will experience the polar night, which means that the sun doesn't rise above the horizon.
Translation:",لو زرتي المناطق القطبية الشمالية أو الجنوبية في الشتاء هتتعرضي لليل القطبي، وده معناه إن الشمس مش هتطلع فوق الأفق.,command_r+,egy,4,5,5,0.5458303092731143,False
54,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Saltwater Crocodiles do not actively live in the ocean, their primary habitat is in river estuaries north from Rockhampton.
Translation:",تماسيح المياه المالحة لا تعيش في المحيط بشكل نشط، موطنها الأساسي هو مصبات الأنهار شمال روكهامبتون.,command_r+,egy,5,5,1,5.157958064542362e-05,False
55,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Soon after the outbreak of hostilities, Britain initiated a naval blockade of Germany.
Translation:",قريبًا بعد اندلاع الأعمال العدائية، بدأت بريطانيا حصارًا بحريًا على ألمانيا.,gpt-4o,egy,4,5,1,0.0,False
56,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Romanticism had a large element of cultural determinism, drawn from writers such as Goethe, Fichte, and Schlegel.
Translation:",احتوت الرومانسية على عنصر كبير من الحتمية الثقافية، والمستمدة من كتاب مثل جوته، وفشته، وشليجل.,command_r+,egy,4,5,1,0.0003254891624735,False
57,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Traffic Flow is the study of the movement of individual drivers and vehicles between two points and the interactions they make with one another.
Translation:",دراسة حركة المرور هي دراسة حركة السائقين والمركبات بين نقطتين والتفاعلات اللي بيعملوها مع بعض.,gpt-4o,egy,4,4,2,0.0001720729501497,False
58,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
It isn’t alone though, experimentation, and an experiment is a test that is used to eliminate one or more of the possible hypotheses, asking questions, and making observations also guide scientific research.
Translation:",لكنها لا تنفرد بذلك، فالاختبار، والتجربة اختبار يستخدم لإقصاء فرضية أو أكثر من الفرضيات المحتملة، وطرح الأسئلة، وملاحظة الملاحظات توجه أيضًا البحث العلمي.,command_r+,egy,4,5,1,0.0,False
59,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
The central authority of the church had been in Rome for over a thousand years and this concentration of power and money led many to question whether this tenet was being met.
Translation:",السلطة المركزية للكنيسة كانت في روما لأكثر من ألف سنة وتركز القوة والمال ده خلّى كتيرين يشكّوا إذا كان المبدأ ده بيتحقق ولا لأ.,gpt-4o,egy,4,4,2,0.6382005688639012,False
60,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
As the areas are sparsely populated, and light pollution therefore often not a problem, you will also be able to enjoy the stars.
Translation:",بما إن المناطق دي قليلة السكان، والتلوث الضوئي مش مشكلة غالبًا، هتقدر كمان تستمتع بالنجوم.,gpt-4o,egy,4,4,5,0.4790064762401158,False
61,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
""This is not going to be goodbye. This is the closing of one chapter and the opening of a new one.""
Translation:",ده مش هيبقى وداع. دي نهاية فصل واحد وبداية فصل جديد.,gpt-4o,egy,4,5,5,0.6779811349109224,False
62,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
No extra transport is being put on and overground trains will not stop at Wembley, and car parking and park-and-ride facilities are unavailable at the ground.
Translation:",مافيش وسائل نقل إضافية وقطارات السطح مش هتقف في ويمبلي، ومواقف السيارات وخدمات الركن والركوب مش متاحة في الملعب.,gpt-4o,egy,4,4,5,0.729401262516074,False
63,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.
Translation:",وفقاً للشرطة، من غير المرجح أن يواجه سائق السيارة التي صدمت المصور اتهامات جنائية.,command_r+,egy,4,5,1,0.0,False
64,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
This can be easily done by using a relatively quiet alarm clock to bring you to consciousness without fully waking you.
Translation:",ده ممكن يتعمل بسهولة باستخدام منبه هادي نسبياً عشان يخليك توعى من غير ما تصحى تماماً.,gpt-4o,egy,5,5,5,0.5914227612644538,False
65,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Check that the bus you are thinking of taking goes into Hebron and not just to the nearby Jewish settlement of Kiryat Arba.
Translation:",اتأكد إن الأتوبيس اللي ناوي تركبه رايح الخليل مش مستوطنة كريات أربع اليهودية القريبة منها,command_r+,egy,3,3,5,0.4646346183998062,False
66,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Its long jaws were studded with more than 70 razor-sharp teeth, along with an extra set in the roof of its mouth, meaning that there was no escape for anything that crossed its path.
Translation:",فكّاه الطويلان مرصّعان بأكثر من 70 سنًا حادًا كالشفرة، بالإضافة إلى مجموعة إضافية في سقف فمه، مما يعني أنه لا مهرب لأي شيء يعترض طريقه.,command_r+,egy,4,5,1,2.3790516963983e-06,False
67,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Subcultures can be distinctive because of the age, ethnicity, class, location, and/or gender of the members.
Translation:",ممكن تكون الثقافات الفرعية مميزة بسبب عمر أو عرق أو طبقة أو موقع و/أو نوع أعضاءها.,command_r+,egy,4,4,1,5.2106111883554185e-05,False
68,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
When completely brought up by non-human animals, the feral child exhibits behaviors (within physical limits) almost entirely like those of the particular care-animal, such as its fear of or indifference to humans.
Translation:",عندما يتربى الطفل البري بشكل كامل على يد حيوانات غير بشرية، فإنه يظهر سلوكيات (ضمن الحدود الجسدية) تشبه إلى حد كبير سلوكيات الحيوان المُربي، مثل خوفه من البشر أو عدم مبالاته بهم.,command_r+,egy,4,5,1,0.0,False
69,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Ring also settled a lawsuit with competing security company, the ADT Corporation.
Translation:",توصلت رينج أيضاً لتسوية دعوى قضائية مع شركة أمن منافسة، وهي شركة ADT.,command_r+,egy,4,5,1,0.0,False
70,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
he cave itself, which survived the times, gives a very vivid image of Muhammad’s spiritual inclinations.
Translation:",تعطي الكهف نفسه، الذي صمد أمام تقلبات الزمن، صورة حية جداً عن الميول الروحانية لمحمد.,command_r+,egy,3,4,1,0.0,False
71,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Thousands of years ago, a man called Aristarchus said that the Solar System moved around the Sun.
Translation:",من آلاف السنين، قال رجل اسمه أريستارخوس إن النظام الشمسي يدور حول الشمس.,gpt-4o,egy,5,4,1,0.0021601306201379,False
72,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Usually you always here the sound of tourists and vendors. The story of the sound and light is just like a story book.
Translation:",عادةً بتسمع دايمًا صوت السياح والبائعين. حكاية الصوت والضوء زي حكاية كتاب.,gpt-4o,egy,4,4,4,0.0517005022185035,False
73,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
Dr. Tony Moll discovered the Extremely Drug Resistant Tuberculosis (XDR-TB) in the South African region KwaZulu-Natal.
Translation:",اكتشف الدكتور توني مول السل شديد المقاومة للأدوية (XDR-TB) في منطقة كوازولو ناتال بجنوب أفريقيا.,command_r+,egy,4,5,4,0.0008491185532834,False
74,"Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
This is just like symptomatic treatment in many cases. However, if we do not only want a temporary solution, then we should find the root of the problems, and we should deactivate them.
Translation:",ده زي العلاج العرضي في حالات كتيرة. بس لو مش عايزين حل مؤقت بس، لازم ندور على أصل المشاكل ونعطلها.,gpt-4o,egy,4,5,5,0.9476540232192292,False
