Unnamed: 0,Prompt,Completion,Model,Dialect,Adherence,Fluency,Dialectal Accuracy,Repeats Prompt?,TVD,Copy
16,"اكتوب رد مبدع بحتوي ع هلجملة بشكل أساسي: ""أنو شارع هاد؟""","بالتأكيد! إليك ردًا مبدعًا يحتوي على الجملة التي طلبتها:

""بينما كنت أسير في دروب المدينة، وجدت نفسي في مكان غير مألوف، فتساؤلت بفضول: ""أنو شارع هاد؟"". كان الشارع يبدو كلوحة فنية، حيث تزين بالأشجار الخضراء على جانبيه، وامتلأت أرصفته بال",command_r+,syr,3,5,1,,0.16487304478800002,False
17,"""فيك تعيرني حبل سحب، إذا ممكن؟"" رد على نفس النسق","""أكيد، عندي حبل سحب إضافي بالسيارة. تفضل، ممكن يفيدك.""",command_r+,syr,3,5,5,,0.020257580705912215,False
18,"""انت مين وانا مين وين رايحين ومنين جايين شو لسا طريقنا طويل فكر شوي واحسبها صح تدمرنا"" رجاع صيغ هاد بطريقتك وخلي المعنى العام متل ما هو","نحن من؟ وإلى أين نتجه في هذه الحياة؟ من أين أتينا، وإلى أين المصير؟ الطريق أمامنا لا يزال طويلا، ففكر مليًا وحسبها بشكل صحيح. إننا ندمر أنفسنا بهذا الطريق.

توقف للحظة، وأعد التفكير في الأمر. من نحن لنقرر مصائرنا بهذه الطريقة؟ دعنا نعيد تقييم وضعنا",command_r+,syr,3,5,1,,0.0,False
19,"""بحبة فى حبنا صادقين لناس تانين لوجة اللة"" رد على نفس النسق","""بحبنا الصادق، بنرسم طريقنا، وبنكون مثال لغيرنا، في رضا ربنا، وبسعادة قلبنا.""",command_r+,syr,3,5,3,,0.00912496449001754,False
20,"""بأديش الفطر التازا؟"" شو الآثار يلي بتترتب على هالشي, إذا حدا حكالك هيك؟","إذا حكالي حدا ""بأديش الفطر التازا؟""، فيمكن إنو يكون في عدة آثار ونتائج لهدا السؤال:

1. التواصل والتفاعل: هدا السؤال ممكن يكون بداية لحوار أو نقاش حول موضوع الفطر الطازج، متل أسعارو، وأنواعو، وفوائدو الصحية، وأحسن طرق طبخو، وغيرها من المواضيع المتعلقة فيه.",command_r+,syr,3,5,3,,0.004057196937067797,False
21,"""شكراً. هيك بكفي."" اكتوب قصة بتبلش بهالسطر","""شكراً. هيك بكفي."" قالت ليلى وهي تضع الكوب الفارغ على الطاولة. كانت تجلس في المقهى الصغير في زاوية الشارع، حيث اعتادت أن تأتي كل يوم بعد العمل لتستريح وتفكر في أحداث يومها.

كان المقهى مكاناً هادئاً ومريحاً، بأضوائه الخافتة والموسيقى الهادئة التي تعزف في الخلفية. جلست ليلى في نفس",gpt-4o,syr,3,5,2,,0.0031433659362405386,False
22,"رجاع كتوب هلجملة بطريقة تناسب العوام أكتر: ""دايما بتسمع بهالمكان صوت البياعين والسياح. قصة الصوت والضو بتشبه قصص الحكايات.""","
Retrieved from ""https://ar.wikipedia.org/w/index.php?title=وصف_الصوت&oldid=38321300""<EOS_TOKEN>This page was last edited on 5 September 2019, at 22:15.<EOS_TOKEN><EOS_TOKEN>Wikipedia® is a registered trademark of the Wikimedia Foundation, Inc., a non-profit organization.

# 11.1.2.1.1.1",command_r+_base,syr,1,1,1,,0.012500753067224424,False
23,"""لسه عندك مقاعد لعرض الليلة؟"" رد بطريقة إبداعية بيتضمن هالجملة كعنصر أساسي"," فيه
“لسه عندك مقاعد لعرض الليلة؟” رد بطريقة إبداعية بيتضمن هالجملة كعنصر أساسي فيه
“لسه عندك مقاعد لعرض الليلة؟”
رد بطريقة إبداعية بيتضمن هالجملة كعنصر أساسي فيه
“لسه عندك مقاعد لعرض الليلة؟” هالسؤال اللي بيسألوه الزبائن بشكل يومي، وكل مرة بيكون",command_r+_base,syr,3,3,4,Yes,0.4619167692641568,False
24,"رد على النسق يلي ببلش هيك: ""ايهه URL كنت دائما اشربها بالكيس مشان خسر البياع كيس وبس تخلص انفخ الكيس وطقو براس رفيقي URL""","
ايهه URL كنت دائما اشربها بالكيس مشان خسر البياع كيس وبس تخلص انفخ الكيس وطقو براس رفيقي URL
ايهه URL كنت دائما اشربها بالكيس مشان خسر البياع كيس وبس تخلص انفخ الكيس وطقو براس رفيقي URL
ايهه URL كنت دائما اشربها بالكيس مشان خسر البياع كيس",command_r+_base,syr,1,2,5,Yes,0.8334965109825134,False
25,"""أنو ساعة بسكر مكتب البريد؟"" اكتوب رد مبدع بحتوي ع هلجملة بشكل أساسي","""بتعرف، إذا بدك تلحق ترسل رسالتك اليوم، لازم تعرف إنو مكتب البريد بسكر بأي ساعة؟""",gpt-4o,syr,2,5,5,,0.46603994244199853,False
26,"""بربكن كيماوي لعمي كنو صعي ريحتوني لانو كنت مفكرو كيماوي o O #وفسر_الماء_بعد_الجهد_بالماء #تبا"" شو الآثار يلي بتترتب على هالشي, إذا حدا حكالك هيك؟","إذا حدا حكالك هيك، فالأمر يعتمد على السياق والعلاقة بينك وبين الشخص اللي حكى هالكلام. بس بشكل عام، في عدة آثار ممكن تترتب على هالشي:

1. **الإحباط وخيبة الأمل**: إذا كنت متوقع شيء معين وطلع العكس، ممكن تحس بخيبة أمل وإحباط. مثل لما تكون متوقع نتيجة معينة وتطلع غير هيك.

2. **فقدان الثقة**",gpt-4o,syr,3,5,3,,0.008221845896653424,False
27,"""من إيمتا؟"" اكتوب قصة بتبلش بهالسطر","""من إيمتا؟"" سألتني وهي تنظر إليّ بعينين مليئتين بالدهشة والفضول. كانت ليلى، صديقتي منذ الطفولة، تجلس أمامي في المقهى القديم الذي اعتدنا أن نلتقي فيه كل أسبوع. لكن هذا اللقاء كان مختلفًا، فقد كنت أحمل سرًا كبيرًا لم أجرؤ على البوح به حتى الآن.

ترددت للحظة، ثم أخذت نفسًا ع",gpt-4o,syr,3,5,2,,0.0001481022638165179,False
28,"بدي تكتبلي سؤال امتحان متوقع بشكل مقالة حسب ""احلا البشر حدي مافي حدا ادي اذا في شك بكلامي براضا بالتحدي خلي اقمر يسمع نورو ماعاد ينفع شو بدنا بوجودو حاجي بئي يطلع""","بالطبع، سأقوم بكتابة سؤال امتحان متوقع على شكل مقالة استنادًا إلى النص الذي قدمته. النص يبدو أنه مقتبس من أغنية أو شعر، وسأحاول بناء سؤال يتناسب مع هذا السياق.

---

**سؤال امتحان متوقع:**

**المقالة:**

في النص الشعري ""احلا البشر حدي مافي حدا ادي اذا في شك بكلامي براضا بالتحدي خلي اقمر يسمع",gpt-4o,syr,2,4,3,,0.16389975935696643,False
29,"اكتوب قصة بتبلش بهالسطر: ""أنا علقان برات غرفتي.""","""أنا علقان برات غرفتي."" هكذا فكر مارك بينما كان يحدق في الباب المغلق. كان قد استيقظ للتو من نوم عميق، وعندما حاول فتح الباب، أدرك أن المقبض كان مكسورا. كان مارك متأكدا أنه أغلق الباب جيدا قبل أن يذهب إلى النوم، ولكن يبدو أن شيئا ما قد حدث أثناء الليل.

بدأ",command_r+,syr,3,4,2,,0.0,False
30,"شو الآثار يلي بتترتب على ""وهيدا الشي ممكن يتحقق بسهولة باستعمال منبه هادي نسبيًا حتى ترجع لوعيك بدون ما تفيق تمامًا."", إذا حدا حكالك هيك؟","
شو الآثار يلي بتترتب على ""وهيدا الشي ممكن يتحقق بسهولة باستعمال منبه هادي نسبيًا حتى ترجع لوعيك بدون ما تفيق تمامًا."", إذا حدا حكالك هيك؟
شو الآثار يلي بتترتب على ""وهيدا الشي ممكن يتحقق بسهولة باستعمال منبه هادي نسبيًا حتى ترجع لوعيك بدون ما تفيق تمامًا",command_r+_base,syr,1,3,2,Yes,0.22342886463930256,True
31,"""قوّص رولاندو ميندوزا من بندقيته الأم 16 على السواح."" اكتوب رد مبدع بحتوي ع هلجملة بشكل أساسي",في لحظة من الفوضى، أطلق رولاندو ميندوزا النار من بندقيته M16 على السياح، مما أثار الذعر والفزع في المكان.,gpt-4o,syr,2,5,1,,0.00015683575888228874,False
32,"كمل هالقسم بقصة: ""فكرة التزلج قديمة كتير - وبيرجع تاريخ لوحات الكهوف يلّي بتصور المتزلجين لـ 5000 قبل الميلاد!""","
كمل هالقسم بقصة: ""فكرة التزلج قديمة كتير - وبيرجع تاريخ لوحات الكهوف يلّي بتصور المتزلجين لـ 5000 قبل الميلاد!""
كمل هالقسم بقصة: ""فكرة التزلج قديمة كتير - وبيرجع تاريخ لوحات الكهوف يلّي بتصور المتزلجين لـ 5000 قبل الميلاد!""
كمل ه",command_r+_base,syr,1,2,5,Yes,0.6685666446407055,True
33,"""خدني عالمستشفى."" رد على نفس النسق",": ""أنا مش رايح على المستشفى.""
""أنا مش رايح على المستشفى.""
""أنا مش رايح على المستشفى."" رد على نفس النسق: ""أنا مش رايح على المستشفى.""
""أنا مش رايح على المستشفى."" رد على نفس النسق: ""أنا مش رايح على المستشفى.""
""أنا مش رايح على المستشفى."" رد على نفس النسق: ""أنا مش رايح على",command_r+_base,syr,2,2,1,Yes,0.03495297235511452,False
34,"""عندك شي مقاعد فاضية على لندن؟"" بدي تكتبلي سؤال امتحان متوقع بشكل مقالة حسب هالجملة",".
""عندك شي مقاعد فاضية على لندن؟"" بدي تكتبلي سؤال امتحان متوقع بشكل مقالة حسب هالجملة.
""Do you have any empty seats to London?"" I want you to write me a likely exam question in the form of an article according to this sentence.
""عندك شي مقاعد فاضية على لندن؟"" بدي تكتبلي سؤال امتحان متوقع بشكل مقالة",command_r+_base,syr,1,2,2,Yes,0.6326717239062418,True
35,"""لاقيلي حل للروح صارت ع اخر روح"" رد على نفس النسق","
موضوع: ""لاقيلي حل للروح صارت ع اخر روح"" رد على نفس النسق الأحد 24 أبريل 2011, 11:32 am
لاقيلي حل للروح صارت ع اخر روح
لاقيلي حل للروح صارت ع اخر روح..
لاقيلي حل للروح صارت ع اخر روح..لاقيلي حل للروح صارت ع اخر روح..لاقيلي حل للروح صارت ع",command_r+_base,syr,1,2,4,Yes,0.08147303592164779,True
36,"رد على النسق يلي ببلش هيك: ""ده انتي اللي زيك ييجو كل فين وفين""","""ده انتي اللي زيك ييجو كل فين وفين، والله كلامك ده شرف كبير ليا. انتِ فعلاً شخص مميز ووجودك في حياتي نعمة كبيرة. شكراً على كلامك الجميل.""",gpt-4o,syr,3,5,1,,0.003373294870348653,False
37,"رد على نفس النسق: ""اديتو كل حاجة ورضيت باقل حاجة"""," - صحيفة الراكوبة
06-11-2015 02:00 PM
*نشر الزميل عبد الرحمن الامين مقالاً بعنوان ""اديتو كل حاجة ورضيت باقل حاجة"" في صحيفة التيار عدد الاثنين 8 يونيو 2015م، تناول فيه قضية توزيع الاراضي في ولاية الخرطوم، وذكر ان الاراضي وزعت على ""ال",command_r+_base,syr,2,4,1,,0.00016826943778963654,False
38,"رجاع كتوب ""ولكن فى بعدك فعز الليالى"" بطريقة تناسب العوام أكتر","""بس بعدك صعب عليا الليالي""",command_r+,syr,3,5,1,,0.010287596939037247,False
39,"""بتتكون المجموعات من واحد لتلات ذكور بالغين، بالإضافة لتلاتين أنثى وشبل تقريباً."" عمين بيتوجه نوع هلجملة هاي؟ برر جوابك","هالجملة موجهة لعالم الطبيعة أو البيئة، أو لأي شخص مهتم بدراسة سلوك الحيوانات الاجتماعية، متل الذئاب أو الضباع. هالجملة بتقدملن معلومات عن بنية المجموعة الاجتماعية عند هالأنواع، وبتساعدن على فهم ديناميكية التفاعل والتعاون ضمن المجموعة.

البرهان على هاد التوجه هو استخدام مصطلحات متل ""ذكور بالغين"" و""",command_r+,syr,3,4,5,,0.23568989712848598,False
40,"عمين بيتوجه نوع هلجملة هاي؟ ""شو رح ينعزف بقاعة الحفلات الموسيقية اليوم؟"" برر جوابك","الجملة ""شو رح ينعزف بقاعة الحفلات الموسيقية اليوم؟"" هي جملة استفهامية. 

تبرير ذلك هو أن الجملة تحتوي على أداة استفهام ""شو"" التي تُستخدم للسؤال عن شيء غير معروف أو للحصول على معلومات معينة. بالإضافة إلى ذلك، الجملة تتطلب إجابة أو توضيح حول نوع الموسيقى أو القطع الموسيقية التي سيتم عزفها في قاعة الحفلات الموسيقية في",gpt-4o,syr,2,4,3,,0.002792215729943398,False
41,"""صااير معي حااله من الجفااف العاطفي للدرجه كل واحد عم يقلي مرحبا عم حبوو"" شو الآثار يلي بتترتب على هالشي, إذا حدا حكالك هيك؟","إذا حدا حكالك إنه عم يعاني من جفاف عاطفي لهالدرجة، هالشي ممكن يكون عنده آثار نفسية واجتماعية كبيرة. هالأثار ممكن تتضمن:

1. **العزلة الاجتماعية**: الشخص ممكن يحس إنه بعيد عن الناس وما عنده رغبة بالتواصل الاجتماعي، وهذا الشي ممكن يسبب له عزلة.

2. **التوتر والقلق**: الجفاف العاطفي ممكن يزيد من مستويات التوتر والقلق",gpt-4o,syr,3,4,4,,0.006450963802270393,False
42,"رجاع كتوب ""ولكن فى بعدك فعز الليالى"" بطريقة تناسب العوام أكتر"," من المثقفين
موضوع: رجاع كتوب ""ولكن فى بعدك فعز الليالى"" بطريقة تناسب العوام أكتر من المثقفين الأحد 10 أكتوبر 2010, 11:52 am
رجاع كتوب ""ولكن فى بعدك فعز الليالى""
بطريقة تناسب العوام أكتر من المثقفين
""ولكن فى بعدك فعز الليال",command_r+_base,syr,1,4,3,Yes,0.0008559080486326698,True
43,"عمين بيتوجه نوع هلجملة هاي؟ ""الف الحمد URL اللي مضوا كلهم انتصارات و بكل المحافظات بس يبعدوا عنا جماعه داعش بتظهر بشائر النصر بفضل الله"" برر جوابك","؟
الموضوع: عمين بيتوجه نوع هلجملة هاي؟ ""الف الحمد URL اللي مضوا كلهم انتصارات و بكل المحافظات بس يبعدوا عنا جماعه داعش بتظهر بشائر النصر بفضل الله"" برر جوابك؟
20-04-2015, 07:45 PM #1
عمين بيتوجه نوع هلجملة هاي؟",command_r+_base,syr,1,2,4,Yes,0.6100607721294296,True
44,"رجاع صيغ ""رجاءً عيده مرة تانية أبطئ من هيك."" بطريقتك وخلي المعنى العام متل ما هو",من فضلك، هل يمكنك تكرار ذلك مرة أخرى ولكن بسرعة أبطأ؟ أود حقًا أن أفهم ما تقوله، لذا من فضلك تحدث ببطء أكثر قليلًا. شكرًا لك على تفهمك.,command_r+,syr,3,5,1,,0.0,False
45,"اكتوب رد مبدع بحتوي ع هلجملة بشكل أساسي: ""بعز الليل ولادي نيام عين ل الله مابتنام URL""",بعز الليل، لما ولادي بيكونوا نيام، بعرف إنو عين الله الساهرة ما بتنام. بترعانا وبتحمينا من كل شر. هي الحارس اليقظ اللي ما بيغفل عنا ولا لحظة. بنام وقلبي مطمئن، لأنو عارف إنو رعاية الله ما بتغفل عنا ولا بتنام. بعز الليل، بنشكرك يا رب على نعمة الأمن,command_r+,syr,2,4,3,,0.05372182781408297,False
46,"""بتتكون المجموعات من واحد لتلات ذكور بالغين، بالإضافة لتلاتين أنثى وشبل تقريباً."" عمين بيتوجه نوع هلجملة هاي؟ برر جوابك","الجملة المذكورة تتحدث عن تركيبة المجموعات في سياق معين، ومن الواضح أنها تشير إلى نوع من الحيوانات التي تعيش في مجموعات. بالنظر إلى التركيبة المذكورة (واحد لتلات ذكور بالغين، بالإضافة لتلاتين أنثى وشبل تقريباً)، يمكننا أن نستنتج أن هذه الجملة تتحدث عن الأسود.

الأسود تعيش في مجموعات تُعرف باسم ""الزمرة"" أو ""القطيع""،",gpt-4o,syr,3,4,2,,0.0,False
47,"بدي تكتبلي سؤال امتحان متوقع بشكل مقالة حسب ""ابقى ليه الخوف حبي لك موصوف وفعنيك ساكن""","""أبقى ليه الخوف حبي لك موصوف وفعنيك ساكن""

في هذه الأبيات الشعرية، يعبر الشاعر عن مشاعره العميقة تجاه محبوبته. فالسؤال المتوقع في امتحان الأدب أو اللغة العربية قد يكون على الشكل التالي:

""في هذه الأبيات، يصور الشاعر مشاعر الحب القوية التي يكنها لمحبوبته. ناقش الدلالات الع",command_r+,syr,2,5,1,,0.005023543447407519,False
48,"اكتوب رد مبدع بحتوي ع هلجملة بشكل أساسي: ""وشهامتك تتكلم عنك مش محتاجة كلام""","
موضوع: اكتوب رد مبدع بحتوي ع هلجملة بشكل أساسي: ""وشهامتك تتكلم عنك مش محتاجة كلام"" الأربعاء 16 مارس 2011, 1:30 am
شهامتك تتكلم عنك مش محتاجة كلام
موضوع: رد: اكتوب رد مبدع بحتوي ع هلجملة بشكل أساسي: ""وش",command_r+_base,syr,1,2,2,Yes,0.10953652208595344,True
49,"""كيف كان؟"" رجاع صيغ هاد بطريقتك وخلي المعنى العام متل ما هو",كيف كان يومك؟ كيف مرت عليك الأمور؟ هل واجهت أي صعوبات أو تحديات؟ أم أن كل شيء سار على ما يرام؟ أخبرني عن تجربتك، ففضول لمعرفة تفاصيل يومك يملؤني.,command_r+,syr,3,5,1,,0.00019057104705829178,False
50,"""طبعاً لاء. ليش عم تقول إذا؟"" رجاع صيغ هاد بطريقتك وخلي المعنى العام متل ما هو","ي.
""طبعاً لاء. ليش عم تقول إذا؟"" رجاع صيغ هاد بطريقتك وخلي المعنى العام متل ما هوي.
""طبعMultiplier
""طبعاً لاء. ليش عم تقول إذا؟"" رجاع صيغ هاد بطريقتك وخلي المعنى العام متل ما هوي.
""طبعاً لاء. ليش عم تقول إذا؟""",command_r+_base,syr,1,2,4,Yes,0.09796603295558537,True
51,"""بما أن المناطق قليلة السكان، التلوث الضوئي ما بكون مشكلة بكتير من الأحيان، رح تقدر كمان تستمتع بالنجوم."" رد على نفس النسق","، ""بس ما رح تقدر تشوفها من خلال التلوث الضوئي.""
""بما أن المناطق قليلة السكان، التلوث الضوئي ما بكون مشكلة بكتير من الأحيان، رح تقدر كمان تستمتع بالنجوم."" رد على نفس النسق، ""بس ما رح تقدر تشوفها من خلال التلوث الضوئي.""
""بما أن المناطق قليلة السكان، التلوث الضوئي ما بكون مشكلة ب",command_r+_base,syr,1,2,4,Yes,0.25299772213424276,True
52,"""USER انت وين ب سوريه"" بدي تكتبلي سؤال امتحان متوقع بشكل مقالة حسب هالجملة","
""USER انت وين ب سوريه"" بدي تكتبلي سؤال امتحان متوقع بشكل مقالة حسب هالجملة ""USER انت وين ب سوريه"" بدي تكتبلي سؤال امتحان متوقع بشكل مقالة حسب هالجملة
""USER انت وين ب سوريه"" بدي تكتبلي سؤال امتحان متوقع بشكل مقالة حسب هالجملة ""USER انت وين ب سوريه"" بدي",command_r+_base,syr,1,2,5,Yes,0.9215660551429892,True
53,"كمل هالقسم بقصة: ""هاد المنشور كتبتو من NUM سنين وللاسف لهلق ما تغير شي URL""","هاد المنشور كتبتو من 5 سنين وللاسف لهلق ما تغير شي. نفس المشاكل، نفس التحديات، نفس العقبات بتواجهنا كل يوم. حسيت انو لازم شارك هاد المنشور مرة تانية لأنو للأسف بعدو واقعنا.

(ضع الرابط هنا) URL

بتمنى انو ما نضطر نعيد ونزيد بهاد الحكي بعد 5 سنين تانية",command_r+,syr,3,5,4,,0.6634594527255899,False
54,"""نجحت بهداك الفحص بتفوق."" شو الآثار يلي بتترتب على هالشي, إذا حدا حكالك هيك؟","إذا حدا حكالك ""نجحت بهداك الفحص بتفوق""، هالشي بيحمل معه عدة آثار إيجابية ممكن تترتب على نجاحك. منها:

1. **تحسين الثقة بالنفس**: نجاحك بتفوق بيعزز ثقتك بنفسك وبيخليك تحس بالفخر بإنجازاتك.
2. **فرص تعليمية أفضل**: ممكن يفتح لك أبواب لفرص تعليمية أفضل، مثل الحصول",gpt-4o,syr,2,5,4,,0.009948960069877666,False
55,"رد على النسق يلي ببلش هيك: ""انام""","""أنام وأحلم بعالم أفضل، حيث يسود الحب والسلام، وتتحقق فيه كل الأماني.""",gpt-4o,syr,3,5,1,,1.6509886538208784e-06,False
