sentID.BTEC	split	lang	sent
135	corpus-6-dev	EN	What does that come to?
136	corpus-6-dev	EN	It's a little bit hot. May I open the window?
138	corpus-6-train	EN	Just a shower is Okay.
139	corpus-6-dev	EN	My eyes are bloodshot.
140	corpus-6-test-corpus-26-train	EN	No. May I suggest a twin for single use instead? We have one.
142	corpus-6-dev	EN	I can't guarantee that, but we will try our best.
143	corpus-6-test-corpus-26-train	EN	I'd like a tight perm, please.
144	corpus-6-train	EN	The sea was seen far below.
145	corpus-6-test-corpus-26-train	EN	She wants a beer.
146	corpus-6-train	EN	You need an operation.
147	corpus-6-train	EN	More eggs, please.
148	corpus-6-train	EN	Where is the bus stop for the Central Park?
149	corpus-6-train	EN	Cabs?
151	corpus-6-train	EN	Here's your key, sir. Room fifty-six twelve.
153	corpus-6-train	EN	I love your sweater.
154	corpus-6-train	EN	Go ahead.
155	corpus-6-train	EN	Here we are. This is your hotel.
156	corpus-6-dev	EN	When's the basketball game on?
157	corpus-6-test-corpus-26-train	EN	Good morning. How are you?
158	corpus-6-test-corpus-26-train	EN	I'm afraid I will need to see some form of identification.
159	corpus-6-train	EN	What was your impression?
160	corpus-6-train	EN	Certainly. Would you like your coffee with your dinner or later?
161	corpus-6-train	EN	I'm taking flight twelve to Tokyo.
162	corpus-6-train	EN	I'd like to make a long distance call, please.
163	corpus-6-train	EN	Five months.
168	corpus-6-train	EN	What days of the week does it take place?
169	corpus-6-test-corpus-26-train	EN	What kind of dressing?
170	corpus-6-test-corpus-26-train	EN	This is rather cold. Will you heat it up?
172	corpus-6-train	EN	I'd like some styling gel.
173	corpus-6-test-corpus-26-test	EN	Sorry, this space is already taken.
174	corpus-6-train	EN	Can we see a menu?
175	corpus-6-train	EN	My size is six.
176	corpus-6-test-corpus-26-train	EN	I'm all right. But would you mind calling my friend?
177	corpus-6-test-corpus-26-test	EN	Thank you, that's enough.
178	corpus-6-train	EN	Any taxi would not stop unless you wait for them at the taxi stand.
179	corpus-6-train	EN	My budget is under fifty dollars for a night.
180	corpus-6-train	EN	Will you take a picture together with me?
181	corpus-6-train	EN	How much is the service charge?
182	corpus-6-train	EN	Did the turnover in North America rise by more than five percent?
184	corpus-6-test-corpus-26-train	EN	Who's your best friend?
186	corpus-6-train	EN	Did you know that one of the grand champions of sumo, a kind of traditional Japanese-style wrestling, is an American?
187	corpus-6-test-corpus-26-train	EN	Health-Sports Day October tenth is a national holiday designed to promote the health of the people.
188	corpus-6-train	EN	Is this for Wall Street?
189	corpus-6-train	EN	I'd like to rent it from the fifth to the tenth of December.
191	corpus-6-train	EN	All right. And how about you, ma'am?
192	corpus-6-test-corpus-26-train	EN	Do you want me to check under the hood?
195	corpus-6-train	EN	Sugar?
196	corpus-6-train	EN	Can I pay with Master Card?
198	corpus-6-train	EN	Is this the place to pick up the baggage for NW nine o seven?
199	corpus-6-train	EN	I'll have this brand.
204	corpus-6-train	EN	I'm so happy to have been able to come to this country.
205	corpus-6-train	EN	My name and address are on it.
206	corpus-6-test-corpus-26-train	EN	Could you help me find my suitcase?
207	corpus-6-dev	EN	What kind of stone is this?
208	corpus-6-train	EN	I'd like to point out that our government is being unkind to the so-called boat people. I realize that Japan is already much too over-populated to let in those uninvited guests. But, on the other hand, many sectors of our industry need manual labor resources.
209	corpus-6-train	EN	From that mountain, you can see the whole city. During this season, many different kinds of flowers are blooming. They are very beautiful.
213	corpus-6-train	EN	Follow me.
217	corpus-6-train	EN	Please tell him that Yamada called.
221	corpus-6-test-corpus-26-train	EN	Would you make arrangements in advance?
224	corpus-6-train	EN	All right, please fill out this information here. Was it just one bag?
225	corpus-6-train	EN	Which would you like, beef, chicken or fish?
227	corpus-6-train	EN	Is it possible to take different routes going and coming back?
228	corpus-6-train	EN	Is there a snack bar here?
229	corpus-6-dev	EN	Excuse me, sir. I'd like to do some sightseeing in Boston.
232	corpus-6-train	EN	Do you have a menu in Japanese?
235	corpus-6-train	EN	It's five after one.
238	corpus-6-test-corpus-26-train	EN	I'm being helped. Thank you.
239	corpus-6-train	EN	I'd like a pain-killer.
240	corpus-6-train	EN	Who is your favorite actress?
241	corpus-6-train	EN	I'd like an oval one.
242	corpus-6-train	EN	What sort of music do they play there?
243	corpus-6-train	EN	I don't like the color. Show me another one, please.
246	corpus-6-train	EN	Please take me to the morning market.
248	corpus-6-train	EN	The frame of my glasses is broken.
250	corpus-6-train	EN	From three o'clock.
252	corpus-6-train	EN	Great. I have a window seat. Uh, if you'd like to trade seats later, miss.
255	corpus-6-train	EN	I enjoyed the sightseeing of New York yesterday.
256	corpus-6-dev	EN	I'm interested in the blue handbag in the window.
258	corpus-6-train	EN	Contact your landlord when you have any problems.
259	corpus-6-train	EN	Give me a shampoo and style it as it is now, please.
261	corpus-6-test-corpus-26-train	EN	When you get there, ask someone else, please.
263	corpus-6-train	EN	Please tell me the fastest way to go to San Francisco.
267	corpus-6-train	EN	May I have the key to room two fifteen?
268	corpus-6-train	EN	Excuse me. Could you please take a picture of me?
269	corpus-6-train	EN	Just write your room number and sign here.
271	corpus-6-train	EN	The color is all right, but the size is wrong. Can you have it altered in an hour?
272	corpus-6-train	EN	We are waiting for you that day.
274	corpus-6-train	EN	We have enough to last us for a couple of days.
275	corpus-6-train	EN	I don't understand this.
277	corpus-6-train	EN	How can I get back to my destination?
278	corpus-6-train	EN	Is this exempted from tax?
279	corpus-6-train	EN	Well, they have to play extra innings until the tie is broken.
280	corpus-6-test-corpus-26-train	EN	I'd like extension twenty-four, please.
281	corpus-6-train	EN	Could you spell it?
285	corpus-6-test-corpus-26-train	EN	Here are two dollars. Keep the change.
286	corpus-6-train	EN	When is dinner?
287	corpus-6-train	EN	I'm afraid that's too much for me.
288	corpus-6-train	EN	Where do I get off to go to Union Square?
290	corpus-6-train	EN	You can ask at the rental board stand over there.
293	corpus-6-train	EN	Hi, Jean. Can you take those to the cleaners?
296	corpus-6-train	EN	I'm on holiday.
298	corpus-6-train	EN	No. I plan to visit Paris on my way home.
299	corpus-6-dev	EN	Will you take it with you or shall we send it?
301	corpus-6-train	EN	Recently there's quite a gourmet boom, isn't there?
302	corpus-6-train	EN	It's been about six hours now.
303	corpus-6-train	EN	Delta Airlines flight one one two. Boarding is delayed.
304	corpus-6-train	EN	Could you give me a twin for tonight?
305	corpus-6-train	EN	Would you write a statement about the robbery for my insurance company, please?
306	corpus-6-train	EN	As I'm weak in camera, I think the easy-to-shoot camera may be better for me.
307	corpus-6-train	EN	Is this the right platform to New York?
308	corpus-6-train	EN	Have a nice vacation.
312	corpus-6-train	EN	Please give me some gauze.
313	corpus-6-train	EN	I'd like a baked potato with sour cream, please.
314	corpus-6-train	EN	Yes, every ten minutes.
315	corpus-6-test-corpus-26-train	EN	One hamburger and one cheeseburger, please.
319	corpus-6-test-corpus-26-train	EN	How much do you charge for processing?
320	corpus-6-test-corpus-26-train	EN	We each would like to pay for our own meals.
322	corpus-6-train	EN	I'm checking out tomorrow morning.
323	corpus-6-train	EN	I'm going there, too. How about taking a taxi together?
324	corpus-6-train	EN	Have a seat and make yourself at home. Can I get you something to drink? Coffee, tea or a soda?
325	corpus-6-train	EN	That's very nice of you to say that.
326	corpus-6-test-corpus-26-train	EN	The location was on a chair in the lobby.
327	corpus-6-train	EN	Roast beef, please.
329	corpus-6-dev	EN	When will a table become available?
331	corpus-6-train	EN	Can I still change my order? I'd like the dover sole instead of the rock oysters.
333	corpus-6-test-corpus-26-test	EN	Please change these yen into pounds.
336	corpus-6-train	EN	What's an appendectomy?
338	corpus-6-train	EN	Will you give me the receipts with the details of medical treatment?
346	corpus-6-test-corpus-26-train	EN	I'd like a pocket-sized dictionary, please.
349	corpus-6-train	EN	Well, I don't know.
350	corpus-6-train	EN	Congratulations, I understand you were promoted to vice president.
351	corpus-6-train	EN	The day after tomorrow evening.
352	corpus-6-train	EN	I live in southern Japan.
353	corpus-6-train	EN	Round trip ticket to Chicago, please.
355	corpus-6-train	EN	Would you like some bacon or ham with your eggs?
358	corpus-6-train	EN	For studying.
359	corpus-6-train	EN	Please be quick.
360	corpus-6-test-corpus-26-train	EN	For two people at seven. The name is Watanabe.
364	corpus-6-train	EN	The air-conditioner doesn't work.
365	corpus-6-train	EN	It's like this every Monday.
366	corpus-6-train	EN	Please go to the international departure lobby. Have a nice flight.
367	corpus-6-train	EN	Do you have any tours to Paris on the Eurostar?
368	corpus-6-test-corpus-26-train	EN	My watch. It was a Seiko digital.
369	corpus-6-train	EN	I brought my doctor's medical certificate from Japan.
370	corpus-6-test-corpus-26-train	EN	It will be our pleasure to serve you the drink of your choice, followed by dinner. A complete guide of the drinks we offer on this flight is located in the information guide of our magazine.
373	corpus-6-test-corpus-26-test	EN	Do you live around here?
374	corpus-6-train	EN	Could you send it to Japan?
375	corpus-6-test-corpus-26-train	EN	Where's the gift shop?
379	corpus-6-train	EN	Can I get back to you with an answer this Friday?
380	corpus-6-train	EN	Well, let me check the lost and found. What kind of camera is it?
381	corpus-6-train	EN	I'm very sorry, we're preparing the room you wanted.
383	corpus-6-train	EN	Oh, it shows subway stations and bus stops. May I keep it?
384	corpus-6-train	EN	Ah, I miss Shibazuke.
386	corpus-6-test-corpus-26-test	EN	I'm on Highway one near Morro Bay.
389	corpus-6-train	EN	Yes, we have. A half day course and a full day course.
390	corpus-6-train	EN	I would recommend an earrings.
391	corpus-6-test-corpus-26-train	EN	I'd like an alarm clock, please.
392	corpus-6-train	EN	I want to cancel my reservation, please.
394	corpus-6-train	EN	What's the refund system?
397	corpus-6-train	EN	The lights don't work.
398	corpus-6-test-corpus-26-dev	EN	By the way, my name is Hiroshi Iijima.
400	corpus-6-train	EN	What's the time difference between Tokyo and here?
401	corpus-6-test-corpus-26-dev	EN	This train stops at Lake Forest, doesn't it?
403	corpus-6-train	EN	How much is it in all?
404	corpus-6-train	EN	Thank you, sir.
405	corpus-6-train	EN	Go straight and turn right at the third corner.
407	corpus-6-train	EN	I have a sharp stabbing pain in my stomach.
408	corpus-6-test-corpus-26-train	EN	Most Japanese eat octopus and squid.
411	corpus-6-train	EN	Did you see that?
412	corpus-6-train	EN	It's a present. Can you gift-wrap it for me?
414	corpus-6-train	EN	Good afternoon, Mrs. Kent. Long time no see.
416	corpus-6-test-corpus-26-train	EN	Can I have two second class tickets to Chicago, please?
417	corpus-6-train	EN	The pleasure was mine.
419	corpus-6-test-corpus-26-train	EN	I went to New York.
422	corpus-6-train	EN	I'd like to change my reservation for flight two-zero-five on October second.
423	corpus-6-test-corpus-26-train	EN	What's the flight number?
426	corpus-6-train	EN	Where is the Delta's check-in counter?
427	corpus-6-train	EN	Is this a low sodium meal?
429	corpus-6-train	EN	This item is not permitted.
431	corpus-6-train	EN	I think we can. Here's your slip.
432	corpus-6-train	EN	What do you take off last, before getting into bed?
437	corpus-6-train	EN	No, I'm going to get it during my stay.
438	corpus-6-train	EN	Is it colorfast?
439	corpus-6-train	EN	Is this a specialty of this district?
440	corpus-6-train	EN	I'd like some biscuits.
442	corpus-6-test-corpus-26-test	EN	One for New York, please.
446	corpus-6-test-corpus-26-train	EN	For about a few days.
447	corpus-6-test-corpus-26-train	EN	The second to the left.
448	corpus-6-train	EN	They are too small.
452	corpus-6-train	EN	How difficult are the tours?
454	corpus-6-dev	EN	I would like a seat near the window, please.
456	corpus-6-train	EN	Can I get on with a Eurailpass?
457	corpus-6-train	EN	How long does it take to reach Japan?
458	corpus-6-train	EN	Do you have road maps?
459	corpus-6-train	EN	Oh, yes. I read about him in the guidebook.
461	corpus-6-train	EN	I ordered three cups of tea. But we only got two.
462	corpus-6-train	EN	Electric appliances are very cheap, but food and housing expenses are very high.
463	corpus-6-train	EN	To take away.
465	corpus-6-train	EN	I usually take size twenty-two in Japan.
466	corpus-6-train	EN	When are the hours of the art museum?
470	corpus-6-train	EN	Where should I pay?
471	corpus-6-test-corpus-26-dev	EN	This card, Okay?
475	corpus-6-train	EN	Is this your first trip abroad?
477	corpus-6-train	EN	Which is the beginners' course?
479	corpus-6-train	EN	This country sure has many kinds of fruit.
480	corpus-6-dev	EN	I'd like to check in this suitcase.
482	corpus-6-train	EN	Are meals available at the ski lodge of that slope?
483	corpus-6-train	EN	Excuse me, I have locked myself out. May I have another key?
485	corpus-6-train	EN	Exchange these U.S. dollars to Japanese yen, please.
487	corpus-6-dev	EN	It is hard to say good-bye.
488	corpus-6-test-corpus-26-train	EN	Is this the reception desk? Is there a clinic nearby?
489	corpus-6-train	EN	Excuse me, may I ask you the name of your dish? That looks delicious.
490	corpus-6-train	EN	They pinch.
492	corpus-6-train	EN	Which gate do I go to next?
493	corpus-6-test-corpus-26-train	EN	Will ten dollars be enough by taxi?
495	corpus-6-train	EN	I thought it was excellent-good acting and a great plot.
496	corpus-6-train	EN	Wow, thanks a lot.
497	corpus-6-train	EN	I'm not happy with this room. Would you show me another one?
498	corpus-6-train	EN	It's the latest style this summer.
499	corpus-6-train	EN	Take me to the center of town, please.
502	corpus-6-train	EN	Can I rent a car?
503	corpus-6-test-corpus-26-train	EN	This tastes strange.
505	corpus-6-train	EN	While I'm out, please repair it.
507	corpus-6-train	EN	Do you have some snack?
508	corpus-6-train	EN	Please speak slowly.
509	corpus-6-train	EN	I'm coming an hour late.
511	corpus-6-train	EN	I'm Ken.
512	corpus-6-test-corpus-26-train	EN	Yes. Wait, I'll bring one for you.
513	corpus-6-train	EN	Waiter.
514	corpus-6-train	EN	Has it been raining all this week?
516	corpus-6-test-corpus-26-train	EN	Half bottle, please.
517	corpus-6-train	EN	Do they have live performances?
523	corpus-6-train	EN	Can I see that briefcase?
524	corpus-6-train	EN	Do you have anything else?
525	corpus-6-train	EN	You need rest.
528	corpus-6-train	EN	Please fill out this landing card and customs form.
530	corpus-6-train	EN	Does this car go to Seattle?
531	corpus-6-train	EN	Do I pay part of the charge now?
532	corpus-6-train	EN	Is it real or artificial?
533	corpus-6-train	EN	Would you wait for me here?
535	corpus-6-train	EN	Oh, thanks. I was just looking for it.
538	corpus-6-train	EN	Cash or Charge?
539	corpus-6-train	EN	I'm a total stranger to this place.
540	corpus-6-test-corpus-26-train	EN	Not really. Just something not expensive.
541	corpus-6-dev	EN	Can it be machine or hand washed at home?
542	corpus-6-dev	EN	I'd like a box of water colors, please.
543	corpus-6-train	EN	I'm sorry. What did you want to have?
544	corpus-6-train	EN	I'd like to change the date to May nineteenth.
545	corpus-6-train	EN	Please sign here, and here is your receipt for your records.
546	corpus-6-train	EN	I'd like some stockings.
547	corpus-6-train	EN	I'd like some lamb.
548	corpus-6-test-corpus-26-train	EN	Are you looking for something?
549	corpus-6-train	EN	I want to take a bus to Penn Station. Which one should I take?
551	corpus-6-test-corpus-26-train	EN	Four nights.
553	corpus-6-test-corpus-26-train	EN	I need some socks.
556	corpus-6-train	EN	It's very low in calories. Only thirty calories.
557	corpus-6-train	EN	I want to reserve room.
558	corpus-6-train	EN	Where in Japan are you from?
560	corpus-6-train	EN	Unfortunately, he's very busy on that day.
561	corpus-6-dev	EN	In that case, I'd recommend this one.
563	corpus-6-train	EN	Room service.
564	corpus-6-train	EN	Attention, please.
565	corpus-6-test-corpus-26-train	EN	Can you make it cheaper because there are some stains?
567	corpus-6-train	EN	Do you have any commemorative stamps?
568	corpus-6-train	EN	This is room three seventeen. May I have another blanket?
569	corpus-6-train	EN	Could you get me to the station in fifteen minutes?
570	corpus-6-train	EN	We need a deposit for the car.
571	corpus-6-test-corpus-26-train	EN	A man bumped into me. After that I noticed my wallet was gone.
572	corpus-6-train	EN	There are no vacancies in single rooms but we have a double room.
573	corpus-6-train	EN	Is this ticket valid only for the designated day?
575	corpus-6-train	EN	What time does it arrive at Milano?
576	corpus-6-train	EN	Do you have someone who speaks Japanese?
577	corpus-6-train	EN	Which channel is the popular music on?
579	corpus-6-train	EN	Delta Airlines.
580	corpus-6-train	EN	I'd like a pot of coffee.
581	corpus-6-train	EN	Does it have a bath and a toilet?
582	corpus-6-train	EN	Time is up.
584	corpus-6-train	EN	I heard Mr. Yamada has two children.
586	corpus-6-train	EN	I'd like to hire a sailing boat.
588	corpus-6-train	EN	Can you do the dishes later?
589	corpus-6-train	EN	I'd like a gas cooker.
591	corpus-6-train	EN	Can you change American dollars into sterling pound?
594	corpus-6-train	EN	Certainly, sir. Your name?
596	corpus-6-train	EN	I am not formally dressed.
597	corpus-6-train	EN	Please just bring yourself next time.
599	corpus-6-test-corpus-26-train	EN	I'm not sure if I've packed enough clothes for a three-week trip.
600	corpus-6-train	EN	Two dollars each.
604	corpus-6-train	EN	We'll make sure the brochures are mailed to you.
605	corpus-6-train	EN	There's something wrong with the brake lights.
607	corpus-6-train	EN	Please show me some leather gloves.
608	corpus-6-train	EN	The car broke down. Please send someone for it.
609	corpus-6-train	EN	Could you recommend a picture book for a six-year-old kid?
610	corpus-6-dev	EN	Could you keep my valuables, please?
611	corpus-6-train	EN	Hi, Harry. Thank you for inviting us.
612	corpus-6-test-corpus-26-train	EN	Well, we'd like to try a white wine.
614	corpus-6-train	EN	For dates, they go to movies.
616	corpus-6-train	EN	I had about one hundred dollars in it.
619	corpus-6-train	EN	My mistake.
621	corpus-6-train	EN	I'd like some clothespins.
623	corpus-6-train	EN	Any import CDs?
625	corpus-6-train	EN	I'm going to study English conversation.
627	corpus-6-train	EN	Have you read any good books recently?
629	corpus-6-train	EN	I'll stay with a friend in New York.
631	corpus-6-test-corpus-26-train	EN	If anyone asks for me, tell them I'll be in the coffee shop.
632	corpus-6-test-corpus-26-train	EN	I'm sure I had it in the inside pocket of my coat.
633	corpus-6-train	EN	Do you have somewhere where I can leave my luggage?
634	corpus-6-train	EN	I've come here on business.
636	corpus-6-train	EN	Do you know any good diving school?
637	corpus-6-train	EN	How much is the price with tax?
638	corpus-6-train	EN	Give me some tissue.
639	corpus-6-train	EN	Next door is too noisy.
640	corpus-6-train	EN	Well, Dr. Krebs sees nobody without an appointment.
641	corpus-6-test-corpus-26-test	EN	May I have the name and the number of the party you're calling?
642	corpus-6-train	EN	A gift?
643	corpus-6-test-corpus-26-train	EN	Will the airline pay for me to buy some basic personal necessities?
645	corpus-6-train	EN	Going to the Grand Hotel?
646	corpus-6-train	EN	There's nobody here by that name.
647	corpus-6-train	EN	Where is the policeman, please?
648	corpus-6-train	EN	May I borrow some gum tape?
650	corpus-6-test-corpus-26-train	EN	I'd like a room with bath.
652	corpus-6-test-corpus-26-dev	EN	Nothing came out of the machine?
653	corpus-6-train	EN	Is this guaranteed?
655	corpus-6-train	EN	What's your diagnosis?
656	corpus-6-train	EN	It's at the end of the corridor on the seventh floor. Take the elevator on your right, please.
659	corpus-6-train	EN	We are at Jones Street Station.
660	corpus-6-train	EN	I never think of going to classical concerts when I'm in Japan.
666	corpus-6-train	EN	Could you explain this dish to me?
667	corpus-6-test-corpus-26-test	EN	You were supposed to take flight eight two zero, which took off fifteen minutes ago. All right. I can arrange another flight for you.
668	corpus-6-train	EN	Here it is. Your seats are located around here.
670	corpus-6-train	EN	He's on a business trip until next Friday.
671	corpus-6-train	EN	My wife and I are very happy you're coming to stay with us over the weekend to experience American life in the country.
672	corpus-6-train	EN	It's the next one to the right.
673	corpus-6-test-corpus-26-train	EN	Someone unpacked my parcel.
674	corpus-6-train	EN	Yes, please. My name's Kurosawa. Until when can you hold my ticket?
676	corpus-6-train	EN	Where can I buy a lift ticket?
677	corpus-6-train	EN	It's six hundred dollars a month plus one month's deposit, and another month's fee for our brokerage.
678	corpus-6-train	EN	Do you prefer a double-breasted or a single-breasted coat?
679	corpus-6-test-corpus-26-test	EN	Oh, it's nothing. You're here, anyway.
680	corpus-6-test-corpus-26-train	EN	Japan Airlines, flight number one two three.
681	corpus-6-test-corpus-26-train	EN	I need to buy shampoo.
683	corpus-6-test-corpus-26-train	EN	Could you tell me when we get to the Civic Center?
684	corpus-6-train	EN	I'll get back to you with the change.
685	corpus-6-train	EN	No I don't.
686	corpus-6-train	EN	What nice pottery. This plate's thirty dollars?
687	corpus-6-train	EN	Do you have a nice jacket for about one hundred dollars?
688	corpus-6-test-corpus-26-train	EN	Where's the nearest butcher?
690	corpus-6-train	EN	All right. Do you have any secondary reactions or allergies?
691	corpus-6-dev	EN	By the look of it, you seem to have picked up some sort of infection.
692	corpus-6-train	EN	Can I get a receipt, please?
693	corpus-6-train	EN	There are three of us.
694	corpus-6-train	EN	I see. Do you remember how much you paid for your ticket?
695	corpus-6-train	EN	How 'bout joining me for a drink?
696	corpus-6-train	EN	What's my room number?
698	corpus-6-dev	EN	Can I have two second floor seats for this evening?
699	corpus-6-train	EN	I locked my key in my room.
700	corpus-6-train	EN	Does it include the tax?
701	corpus-6-train	EN	Excuse me. Could you tell me the way to the railway station, please?
702	corpus-6-dev	EN	What time does the post office open?
703	corpus-6-test-corpus-26-train	EN	We'd like to stay for four nights from August first.
704	corpus-6-train	EN	As this bag is made of vinyl, it's very strong and latest-fashioned design as you may notice.
705	corpus-6-train	EN	The food is very good, but I've had enough. Thanks.
706	corpus-6-train	EN	My wallet was lifted in the subway.
707	corpus-6-train	EN	I have to go to the Japanese Embassy.
708	corpus-6-test-corpus-26-train	EN	What's the name of that flower?
709	corpus-6-train	EN	Couldn't you give it to me for a little less?
710	corpus-6-train	EN	Is this for Chicago?
713	corpus-6-train	EN	Please cash this traveller's check.
715	corpus-6-train	EN	I've had a fever since the day before yesterday. My throat hurts badly. I can't keep any food down.
717	corpus-6-train	EN	It's over here, on the wall, and the switch for the air conditioner is here. Is there anything else you'll be needing, sir?
719	corpus-6-test-corpus-26-train	EN	September fifteenth is Respect-for-the-Aged Day.
722	corpus-6-train	EN	Can I get there in time if I leave here right now?
723	corpus-6-test-corpus-26-train	EN	There is no soap in my room.
724	corpus-6-train	EN	Okay. But I hope it won't take long.
726	corpus-6-train	EN	Can you make out the form for me?
728	corpus-6-train	EN	I bought this bag a little while ago, but the zipper was broken.
730	corpus-6-train	EN	You follow?
731	corpus-6-train	EN	Please come back to the bus by three.
732	corpus-6-train	EN	Millions of people visit famous shrines for the year's first worship.
735	corpus-6-train	EN	If it's possible, I'd like a table by the window.
736	corpus-6-train	EN	I mustn't drink anything containing salt.
738	corpus-6-train	EN	I'd like an aisle seat, please.
739	corpus-6-train	EN	Please give me an estimate.
740	corpus-6-train	EN	That's fine, thanks.
741	corpus-6-test-corpus-26-dev	EN	Is there anything I could take for this rash?
742	corpus-6-test-corpus-26-train	EN	Can you change the wording to what you've just said?
743	corpus-6-train	EN	What time shall we take it up to you?
747	corpus-6-train	EN	I'm sorry they are sold out.
750	corpus-6-train	EN	I'd like to send this picture postcard to Japan.
752	corpus-6-dev	EN	Thank you. Here's your room key. The porter will take your baggage.
755	corpus-6-dev	EN	Keep my baggage, please.
756	corpus-6-train	EN	I'd like to rent a middle size car with four doors.
758	corpus-6-train	EN	Where can I buy pottery?
759	corpus-6-train	EN	My shirt is sweaty.
761	corpus-6-test-corpus-26-test	EN	How long will it take to order?
763	corpus-6-train	EN	How much yen do you have, sir?
764	corpus-6-train	EN	Hello. I have a reservation.
765	corpus-6-train	EN	Pass the salt and pepper, please.
766	corpus-6-train	EN	I made a reservation through the Tokyo office. I'll be a little late checking in tonight.
767	corpus-6-train	EN	Let's do the shopping in a hurry.
768	corpus-6-train	EN	I requested a non-smoking seat when I checked in, but this is a smoking seat.
769	corpus-6-train	EN	Let's go for a drink.
770	corpus-6-train	EN	I suggest you have this kind of fish, a red snapper.
